Customer Class_,Customer Subclass_,Lower Limit Demand_,Upper Limit Demand_,Lower Limit Consumption_,Upper Limit Consumption_,Supply Period Start_,Supply Period End_,Supply Period_,kWh Attributable_,kW Attributable_,Generation Charge_per kWh,Transmission Charge_per kWh,Distribution Charge_per kWh,Supply Charge_per kWh,Metering Charge_per kWh,System Loss Charge_per kWh,UC-ME_per kWh,UC-EC_per kWh,UC-SCC_per kWh,Fit-All (Renewable)_per kWh,Lifeline Rate Subsidy_per kWh,Senior Citizen Subsidy_per kWh,Power Act Reduction_per kWh,Distribution Rate True-Up_per kWh,Current RPT Charge_per kWh,UC-ME for (NPC-SPUG)_per kWh,UC-ME for (RED-CI)_per kWh,UC-SD_per kWh,Prev. Mos' Adj on Gen Cost_per kWh,Dist Rate True-Up 1_per kWh,Dist Rate True-Up 2_per kWh,Dist Rate True-Up 3_per kWh,Dist Rate True-Up 4_per kWh,Cross Subsidy Charge_per kWh,For Non-lifeline: Lifeline Subsidy_per kWh,Current RPT_per kWh,Prev. Mos' Adj on Gen_per kWh,Reset Cost Adjustment_per kWh,Total per kWh_,Transmission Charge_per kW,Distribution Charge_per kW,Total per kW_,Supply Charge_per cust/mo,Metering Charge_per cust/mo,Total per cust/mo_,Lifeline Discount_%,Special Discount_%,For Lifeline: Applicable Discounts_%,Total %_,Power Factor Adj_Penalty,Power Factor Adj_Disc
General Service B,General Service B,5.0,40.0,,,03-26-19,04-25-19,04-19,6.6655999999999995,0.0,5.6322,,0.1368,,,0.4853,0.1561,0.0025,,0.2226,0.1240,0.0001,,,,,,0.0428,,,,,,,,,,,6.8024000000000004,263.9000,237.15,501.04999999999995,371.48,362.34,733.8199999999999,,3%,,3.0,,
General Power (GP) Secondary,MEDIUM SECONDARY,40.0,200.0,,,03-26-19,04-25-19,04-19,6.6655999999999995,0.0,5.6322,,0.1368,,,0.4853,0.1561,0.0025,,0.2226,0.1240,0.0001,,,,,,0.0428,,,,,,,,,,,6.8024000000000004,290.8600,237.15,528.01,845.17,849.44,1694.6100000000001,,3%,,3.0,1.4%,0.7%
General Power (GP) Secondary,LARGE SECONDARY,200.0,750.0,,,03-26-19,04-25-19,04-19,6.6655999999999995,0.0,5.6322,,0.1368,,,0.4853,0.1561,0.0025,,0.2226,0.1240,0.0001,,,,,,0.0428,,,,,,,,,,,6.8024000000000004,290.8600,237.15,528.01,"3,505.46","3,525.12",0.0,,3%,,3.0,1.4%,0.7%
General Power (GP) Secondary,VERY LARGE SECONDARY,200.0,750.0,,,03-26-19,04-25-19,04-19,6.6655999999999995,0.0,5.6322,,0.1368,,,0.4853,0.1561,0.0025,,0.2226,0.1240,0.0001,,,,,,0.0428,,,,,,,,,,,6.8024000000000004,290.8600,237.15,528.01,"12,726.30","12,075.11",0.0,,3%,,3.0,1.4%,0.7%
GP 13.8 KV and below,MEDIUM 13.8 KV AND BELOW,40.0,200.0,,,03-26-19,04-25-19,04-19,6.4216,0.0,5.6322,,0.0513,,,0.2413,0.1561,0.0025,,0.2226,0.1240,0.0001,,,,,,0.0428,,,,,,,,,,,6.472899999999999,303.6100,182.66,486.27,845.17,849.44,1694.6100000000001,,3%,,3.0,1.4%,0.7%
GP 13.8 KV and below,LARGE 13.8 KV AND BELOW,200.0,750.0,,,03-26-19,04-25-19,04-19,6.4216,0.0,5.6322,,0.0513,,,0.2413,0.1561,0.0025,,0.2226,0.1240,0.0001,,,,,,0.0428,,,,,,,,,,,6.472899999999999,303.6100,182.66,486.27,"3,505.46","3,525.12",0.0,,3%,,3.0,1.4%,0.7%
GP 13.8 KV and below,VERY LARGE 13.8 KV AND BELOW,200.0,750.0,,,03-26-19,04-25-19,04-19,6.4216,0.0,5.6322,,0.0513,,,0.2413,0.1561,0.0025,,0.2226,0.1240,0.0001,,,,,,0.0428,,,,,,,,,,,6.472899999999999,303.6100,182.66,486.27,"12,726.30","12,075.11",0.0,,3%,,3.0,1.4%,0.7%
GP 34.5 KV,MEDIUM 34.5 KV,40.0,200.0,,,03-26-19,04-25-19,04-19,6.4216,0.0,5.6322,,0.0513,,,0.2413,0.1561,0.0025,,0.2226,0.1240,0.0001,,,,,,0.0428,,,,,,,,,,,6.472899999999999,338.5500,182.66,521.21,845.17,849.44,1694.6100000000001,,3%,,3.0,1.4%,0.7%
GP 34.5 KV,LARGE 34.5 KV,200.0,750.0,,,03-26-19,04-25-19,04-19,6.4216,0.0,5.6322,,0.0513,,,0.2413,0.1561,0.0025,,0.2226,0.1240,0.0001,,,,,,0.0428,,,,,,,,,,,6.472899999999999,338.5500,182.66,521.21,"3,505.46","3,525.12",0.0,,3%,,3.0,1.4%,0.7%
GP 34.5 KV,VERY LARGE AND EXTRA LARGE 34.5 KV,200.0,750.0,,,03-26-19,04-25-19,04-19,6.4216,0.0,5.6322,,0.0513,,,0.2413,0.1561,0.0025,,0.2226,0.1240,0.0001,,,,,,0.0428,,,,,,,,,,,6.472899999999999,338.5500,182.66,521.21,"12,726.30","12,075.11",0.0,,3%,,3.0,1.4%,0.7%
GP 115 KV / 69 KV,LARGE 115 KV/69 KV,200.0,750.0,,,03-26-19,04-25-19,04-19,6.2707999999999995,0.0,5.6322,,0.0513,,,0.0905,0.1561,0.0025,,0.2226,0.1240,0.0001,,,,,,0.0428,,,,,,,,,,,6.3221,263.7000,143.32,407.02,"3,505.46","3,525.12",0.0,,3%,,3.0,1.4%,0.7%
GP 115 KV / 69 KV,VERY LARGE AND EXTRA LARGE 115 KV/69 KV,200.0,750.0,,,03-26-19,04-25-19,04-19,6.2707999999999995,0.0,5.6322,,0.0513,,,0.0905,0.1561,0.0025,,0.2226,0.1240,0.0001,,,,,,0.0428,,,,,,,,,,,6.3221,263.7000,143.32,407.02,"12,726.30","12,075.11",0.0,,3%,,3.0,1.4%,0.7%
GHMSCI,GHMSCI,,,,,03-26-19,04-25-19,04-19,6.6655999999999995,0.0,5.6322,1.0222,0.8667,,,0.4853,0.1561,0.0025,,0.2226,0.1240,0.0001,,,,,,0.0428,,,,,,,,,,,8.5545,,,0.0,278.59,278.46,557.05,,,,0.0,,
FLAT STREETLIGHTS,Per kWh,,,,,03-26-19,04-25-19,04-19,7.315099999999999,0.0,5.6322,0.8649,2.0082,0.6495,,0.4853,0.1561,0.0025,,0.2226,0.1240,0.0001,,,,,,0.0428,,,,,,,,,,,10.1882,,,0.0,,,0.0,,,,0.0,,
FLAT STREETLIGHTS,"125 W Mercury, 70 W HPS(or equivalent)",,,,,03-26-19,04-25-19,04-19,307.24420000000003,0.0,236.55,36.33,84.34,27.28,,20.38,6.56,0.11,,9.35,5.21,0.0042,,,,,,1.80,,,,,,,,,,,427.91420000000005,,,0.0,,,0.0,,,,0.0,,
FLAT STREETLIGHTS,"250 W Mercury, 150 W HPS(or equivalent)",,,,,03-26-19,04-25-19,04-19,490.1267,0.0,377.36,57.95,134.55,43.52,,32.52,10.46,0.17,,14.91,8.31,0.0067,,,,,,2.87,,,,,,,,,,,682.6267,,,0.0,,,0.0,,,,0.0,,
FLAT STREETLIGHTS,"400 W Mercury, 250 W HPS(or equivalent)",,,,,03-26-19,04-25-19,04-19,819.2812,0.0,630.81,96.87,224.92,72.74,,54.35,17.48,0.28,,24.93,13.89,0.0112,,,,,,4.79,,,,,,,,,,,1141.0711999999999,,,0.0,,,0.0,,,,0.0,,
FLAT STREETLIGHTS,400 W HPS(or equivalent),,,,,03-26-19,04-25-19,04-19,1272.8274000000001,0.0,980.00,150.49,349.43,113.01,,84.44,27.16,0.44,,38.73,21.58,0.0174,,,,,,7.45,,,,,,,,,,,1772.7474,,,0.0,,,0.0,,,,0.0,,
Residential,0 TO 20 KWH,,,0.0,20.0,03-26-20,04-25-20,04-20,6.038599999999999,0.0,4.6385,0.7861,1.0012,0.5085,0.3377,0.3525,0.1561,0.0025,0.0000,0.0000,,,,,,,,0.0428,,,,,,,,,,,7.8259,,,0.0,16.73,5.00,21.73,100.00%,,,100.0,,
Residential,21 TO 50 KWH,,,21.0,50.0,03-26-20,04-25-20,04-20,6.038599999999999,0.0,4.6385,0.7861,1.0012,0.5085,0.3377,0.3525,0.1561,0.0025,0.0000,0.0000,,,,,,,,0.0428,,,,,,,,,,,7.8259,,,0.0,16.73,5.00,21.73,50.00%,,,50.0,,
Residential,51 TO 70 KWH,,,51.0,70.0,03-26-20,04-25-20,04-20,6.038599999999999,0.0,4.6385,0.7861,1.0012,0.5085,0.3377,0.3525,0.1561,0.0025,0.0000,0.0000,,,,,,,,0.0428,,,,,,,,,,,7.8259,,,0.0,16.73,5.00,21.73,35.00%,,,35.0,,
Residential,71 TO 100 KWH,,,71.0,100.0,03-26-20,04-25-20,04-20,6.038599999999999,0.0,4.6385,0.7861,1.0012,0.5085,0.3377,0.3525,0.1561,0.0025,0.0000,0.0000,,,,,,,,0.0428,,,,,,,,,,,7.8259,,,0.0,16.73,5.00,21.73,20.00%,,,20.0,,
Residential,101 TO 200 KWH,,,101.0,200.0,03-26-20,04-25-20,04-20,6.139899999999999,0.0,4.6385,0.7861,1.0012,0.5085,0.3377,0.3525,0.1561,0.0025,0.0000,0.0000,0.1013,0.0000,,,,,,0.0428,,,,,,,,,,,7.927199999999999,,,0.0,16.73,5.00,21.73,,,,0.0,,
Residential,201 TO 300 KWH,,,201.0,300.0,03-26-20,04-25-20,04-20,6.139899999999999,0.0,4.6385,0.7861,1.3183,0.5085,0.3377,0.3525,0.1561,0.0025,0.0000,0.0000,0.1013,0.0000,,,,,,0.0428,,,,,,,,,,,8.244299999999999,,,0.0,16.73,5.00,21.73,,,,0.0,,
Residential,301 TO 400 KWH,,,301.0,400.0,03-26-20,04-25-20,04-20,6.139899999999999,0.0,4.6385,0.7861,1.6175,0.5085,0.3377,0.3525,0.1561,0.0025,0.0000,0.0000,0.1013,0.0000,,,,,,0.0428,,,,,,,,,,,8.5435,,,0.0,16.73,5.00,21.73,,,,0.0,,
Residential,OVER 400 KWH,,,,,03-26-20,04-25-20,04-20,6.139899999999999,0.0,4.6385,0.7861,2.1387,0.5085,0.3377,0.3525,0.1561,0.0025,0.0000,0.0000,0.1013,0.0000,,,,,,0.0428,,,,,,,,,,,9.0647,,,0.0,16.73,5.00,21.73,,,,0.0,,
General Service A,0 TO 200 KWH,,,0.0,200.0,03-26-20,04-25-20,04-20,6.139899999999999,0.0,4.6385,0.7861,1.0012,0.5085,0.3377,0.3525,0.1561,0.0025,0.0000,0.0000,0.1013,0.0000,,,,,,0.0428,,,,,,,,,,,7.927199999999999,,,0.0,16.73,5.00,21.73,,5%,,5.0,,
General Service A,201 TO 300 KWH,,,201.0,300.0,03-26-20,04-25-20,04-20,6.139899999999999,0.0,4.6385,0.7861,1.3183,0.5085,0.3377,0.3525,0.1561,0.0025,0.0000,0.0000,0.1013,0.0000,,,,,,0.0428,,,,,,,,,,,8.244299999999999,,,0.0,16.73,5.00,21.73,,5%,,5.0,,
General Service A,301 TO 400 KWH,,,301.0,400.0,03-26-20,04-25-20,04-20,6.139899999999999,0.0,4.6385,0.7861,1.6175,0.5085,0.3377,0.3525,0.1561,0.0025,0.0000,0.0000,0.1013,0.0000,,,,,,0.0428,,,,,,,,,,,8.5435,,,0.0,16.73,5.00,21.73,,5%,,5.0,,
General Service A,OVER 400 KWH,,,,,03-26-20,04-25-20,04-20,6.139899999999999,0.0,4.6385,0.7861,2.1387,0.5085,0.3377,0.3525,0.1561,0.0025,0.0000,0.0000,0.1013,0.0000,,,,,,0.0428,,,,,,,,,,,9.0647,,,0.0,16.73,5.00,21.73,,5%,,5.0,,
General Service B,General Service B,5.0,40.0,,,03-26-20,04-25-20,04-20,5.293699999999999,0.0,4.6385,,0.1368,,,0.3525,0.1561,0.0025,0.0000,0.0000,0.1013,0.0000,,,,,,0.0428,,,,,,,,,,,5.430499999999999,256.2196,237.15,493.3696,371.48,362.34,733.8199999999999,,3%,,3.0,,
General Power (GP) Secondary,MEDIUM SECONDARY,40.0,200.0,,,03-26-20,04-25-20,04-20,5.293699999999999,0.0,4.6385,,0.1368,,,0.3525,0.1561,0.0025,0.0000,0.0000,0.1013,0.0000,,,,,,0.0428,,,,,,,,,,,5.430499999999999,272.2367,237.15,509.3867,845.17,849.44,1694.6100000000001,,3%,,3.0,1.4%,0.7%
General Power (GP) Secondary,LARGE SECONDARY,200.0,750.0,,,03-26-20,04-25-20,04-20,5.293699999999999,0.0,4.6385,,0.1368,,,0.3525,0.1561,0.0025,0.0000,0.0000,0.1013,0.0000,,,,,,0.0428,,,,,,,,,,,5.430499999999999,272.2367,237.15,509.3867,"3,505.46","3,525.12",0.0,,3%,,3.0,1.4%,0.7%
General Power (GP) Secondary,VERY LARGE SECONDARY,200.0,750.0,,,03-26-20,04-25-20,04-20,5.293699999999999,0.0,4.6385,,0.1368,,,0.3525,0.1561,0.0025,0.0000,0.0000,0.1013,0.0000,,,,,,0.0428,,,,,,,,,,,5.430499999999999,272.2367,237.15,509.3867,"12,726.30","12,075.11",0.0,,3%,,3.0,1.4%,0.7%
GP 13.8 KV and below,MEDIUM 13.8 KV AND BELOW,40.0,200.0,,,03-26-20,04-25-20,04-20,5.093399999999999,0.0,4.6385,,0.0513,,,0.1522,0.1561,0.0025,0.0000,0.0000,0.1013,0.0000,,,,,,0.0428,,,,,,,,,,,5.1446999999999985,271.1844,182.66,453.84439999999995,845.17,849.44,1694.6100000000001,,3%,,3.0,1.4%,0.7%
GP 13.8 KV and below,LARGE 13.8 KV AND BELOW,200.0,750.0,,,03-26-20,04-25-20,04-20,5.093399999999999,0.0,4.6385,,0.0513,,,0.1522,0.1561,0.0025,0.0000,0.0000,0.1013,0.0000,,,,,,0.0428,,,,,,,,,,,5.1446999999999985,271.1844,182.66,453.84439999999995,"3,505.46","3,525.12",0.0,,3%,,3.0,1.4%,0.7%
GP 13.8 KV and below,VERY LARGE 13.8 KV AND BELOW,200.0,750.0,,,03-26-20,04-25-20,04-20,5.093399999999999,0.0,4.6385,,0.0513,,,0.1522,0.1561,0.0025,0.0000,0.0000,0.1013,0.0000,,,,,,0.0428,,,,,,,,,,,5.1446999999999985,271.1844,182.66,453.84439999999995,"12,726.30","12,075.11",0.0,,3%,,3.0,1.4%,0.7%
GP 34.5 KV,MEDIUM 34.5 KV,40.0,200.0,,,03-26-20,04-25-20,04-20,5.093399999999999,0.0,4.6385,,0.0513,,,0.1522,0.1561,0.0025,0.0000,0.0000,0.1013,0.0000,,,,,,0.0428,,,,,,,,,,,5.1446999999999985,292.4151,182.66,475.0751,845.17,849.44,1694.6100000000001,,3%,,3.0,1.4%,0.7%
GP 34.5 KV,LARGE 34.5 KV,200.0,750.0,,,03-26-20,04-25-20,04-20,5.093399999999999,0.0,4.6385,,0.0513,,,0.1522,0.1561,0.0025,0.0000,0.0000,0.1013,0.0000,,,,,,0.0428,,,,,,,,,,,5.1446999999999985,292.4151,182.66,475.0751,"3,505.46","3,525.12",0.0,,3%,,3.0,1.4%,0.7%
GP 34.5 KV,VERY LARGE AND EXTRA LARGE 34.5 KV,200.0,750.0,,,03-26-20,04-25-20,04-20,5.093399999999999,0.0,4.6385,,0.0513,,,0.1522,0.1561,0.0025,0.0000,0.0000,0.1013,0.0000,,,,,,0.0428,,,,,,,,,,,5.1446999999999985,292.4151,182.66,475.0751,"12,726.30","12,075.11",0.0,,3%,,3.0,1.4%,0.7%
GP 115 KV / 69 KV,LARGE 115 KV/69 KV,200.0,750.0,,,03-26-20,04-25-20,04-20,4.971399999999999,0.0,4.6385,,0.0513,,,0.0302,0.1561,0.0025,0.0000,0.0000,0.1013,0.0000,,,,,,0.0428,,,,,,,,,,,5.022699999999999,223.3368,143.32,366.6568,"3,505.46","3,525.12",0.0,,3%,,3.0,1.4%,0.7%
GP 115 KV / 69 KV,VERY LARGE AND EXTRA LARGE 115 KV/69 KV,200.0,750.0,,,03-26-20,04-25-20,04-20,4.971399999999999,0.0,4.6385,,0.0513,,,0.0302,0.1561,0.0025,0.0000,0.0000,0.1013,0.0000,,,,,,0.0428,,,,,,,,,,,5.022699999999999,223.3368,143.32,366.6568,"12,726.30","12,075.11",0.0,,3%,,3.0,1.4%,0.7%
GHMSCI,GHMSCI,,,,,03-26-20,04-25-20,04-20,5.293699999999999,0.0,4.6385,0.9768,0.8667,,,0.3525,0.1561,0.0025,0.0000,0.0000,0.1013,0.0000,,,,,,0.0428,,,,,,,,,,,7.137199999999999,,,0.0,278.59,278.46,557.05,,,,0.0,,
FLAT STREETLIGHTS,Per kWh,,,,,03-26-20,04-25-20,04-20,5.943199999999999,0.0,4.6385,0.7967,2.0082,0.6495,,0.3525,0.1561,0.0025,0,0.0000,0.1013,0.0000,,,,,,0.0428,,,,,,,,,,,8.7481,,,0.0,,,0.0,,,,0.0,,
FLAT STREETLIGHTS,"125 W Mercury, 70 W HPS(or equivalent)",,,,,03-26-20,04-25-20,04-20,249.63,0.0,194.82,33.46,84.34,27.28,,14.81,6.56,0.11,0.00,0.00,4.25,0.0000,,,,,,1.80,,,,,,,,,,,367.43,,,0.0,,,0.0,,,,0.0,,
FLAT STREETLIGHTS,"250 W Mercury, 150 W HPS(or equivalent)",,,,,03-26-20,04-25-20,04-20,398.21,0.0,310.78,53.38,134.55,43.52,,23.62,10.46,0.17,0.00,0.00,6.79,0.0000,,,,,,2.87,,,,,,,,,,,586.14,,,0.0,,,0.0,,,,0.0,,
FLAT STREETLIGHTS,"400 W Mercury, 250 W HPS(or equivalent)",,,,,03-26-20,04-25-20,04-20,665.63,0.0,519.51,89.23,224.92,72.74,,39.48,17.48,0.28,0.00,0.00,11.35,0.0000,,,,,,4.79,,,,,,,,,,,979.78,,,0.0,,,0.0,,,,0.0,,
FLAT STREETLIGHTS,400 W HPS(or equivalent),,,,,03-26-20,04-25-20,04-20,1034.13,0.0,807.10,138.63,349.43,113.01,,61.34,27.16,0.44,0.00,0.00,17.63,0.0000,,,,,,7.45,,,,,,,,,,,1522.19,,,0.0,,,0.0,,,,0.0,,
Residential,0 TO 20 KWH,,,0.0,20.0,03-26-21,04-25-21,04-21,5.707,0.0,4.5370,0.6553,1.0012,0.5085,0.3377,0.3027,,0.00,,0.0983,,,,(0.2761),,0.1544,0.0017,0.0428,,,,,,,,,,,7.363499999999999,,,0.0,16.73,5.00,21.73,100.00%,,,100.0,,
Residential,21 TO 50 KWH,,,21.0,50.0,03-26-21,04-25-21,04-21,5.707,0.0,4.5370,0.6553,1.0012,0.5085,0.3377,0.3027,,0.00,,0.0983,,,,(0.2761),,0.1544,0.0017,0.0428,,,,,,,,,,,7.363499999999999,,,0.0,16.73,5.00,21.73,50.00%,,,50.0,,
Residential,51 TO 70 KWH,,,51.0,70.0,03-26-21,04-25-21,04-21,5.707,0.0,4.5370,0.6553,1.0012,0.5085,0.3377,0.3027,,0.00,,0.0983,,,,(0.2761),,0.1544,0.0017,0.0428,,,,,,,,,,,7.363499999999999,,,0.0,16.73,5.00,21.73,35.00%,,,35.0,,
Residential,71 TO 100 KWH,,,71.0,100.0,03-26-21,04-25-21,04-21,5.707,0.0,4.5370,0.6553,1.0012,0.5085,0.3377,0.3027,,0.00,,0.0983,,,,(0.2761),,0.1544,0.0017,0.0428,,,,,,,,,,,7.363499999999999,,,0.0,16.73,5.00,21.73,20.00%,,,20.0,,
Residential,101 TO 200 KWH,,,101.0,200.0,03-26-21,04-25-21,04-21,5.7955000000000005,0.0,4.5370,0.6553,1.0012,0.5085,0.3377,0.3027,,0.00,,0.0983,0.0887,(0.0002),,(0.2761),,0.1544,0.0017,0.0428,,,,,,,,,,,7.452,,,0.0,16.73,5.00,21.73,,,,0.0,,
Residential,201 TO 300 KWH,,,201.0,300.0,03-26-21,04-25-21,04-21,5.7955000000000005,0.0,4.5370,0.6553,1.3183,0.5085,0.3377,0.3027,,0.00,,0.0983,0.0887,(0.0002),,(0.2761),,0.1544,0.0017,0.0428,,,,,,,,,,,7.7691,,,0.0,16.73,5.00,21.73,,,,0.0,,
Residential,301 TO 400 KWH,,,301.0,400.0,03-26-21,04-25-21,04-21,5.7955000000000005,0.0,4.5370,0.6553,1.6175,0.5085,0.3377,0.3027,,0.00,,0.0983,0.0887,(0.0002),,(0.2761),,0.1544,0.0017,0.0428,,,,,,,,,,,8.0683,,,0.0,16.73,5.00,21.73,,,,0.0,,
Residential,OVER 400 KWH,,,,,03-26-21,04-25-21,04-21,5.7955000000000005,0.0,4.5370,0.6553,2.1387,0.5085,0.3377,0.3027,,0.00,,0.0983,0.0887,(0.0002),,(0.2761),,0.1544,0.0017,0.0428,,,,,,,,,,,8.589500000000001,,,0.0,16.73,5.00,21.73,,,,0.0,,
General Service A,0 TO 200 KWH,,,0.0,200.0,03-26-21,04-25-21,04-21,5.7955000000000005,0.0,4.5370,0.6553,1.0012,0.5085,0.3377,0.3027,,0.00,,0.0983,0.0887,(0.0002),,(0.2761),,0.1544,0.0017,0.0428,,,,,,,,,,,7.452,,,0.0,16.73,5.00,21.73,,5%,,5.0,,
General Service A,201 TO 300 KWH,,,201.0,300.0,03-26-21,04-25-21,04-21,5.7955000000000005,0.0,4.5370,0.6553,1.3183,0.5085,0.3377,0.3027,,0.00,,0.0983,0.0887,(0.0002),,(0.2761),,0.1544,0.0017,0.0428,,,,,,,,,,,7.7691,,,0.0,16.73,5.00,21.73,,5%,,5.0,,
General Service A,301 TO 400 KWH,,,301.0,400.0,03-26-21,04-25-21,04-21,5.7955000000000005,0.0,4.5370,0.6553,1.6175,0.5085,0.3377,0.3027,,0.00,,0.0983,0.0887,(0.0002),,(0.2761),,0.1544,0.0017,0.0428,,,,,,,,,,,8.0683,,,0.0,16.73,5.00,21.73,,5%,,5.0,,
General Service A,OVER 400 KWH,,,,,03-26-21,04-25-21,04-21,5.7955000000000005,0.0,4.5370,0.6553,2.1387,0.5085,0.3377,0.3027,,0.00,,0.0983,0.0887,(0.0002),,(0.2761),,0.1544,0.0017,0.0428,,,,,,,,,,,8.589500000000001,,,0.0,16.73,5.00,21.73,,5%,,5.0,,
General Service B,General Service B,5.0,40.0,,,03-26-21,04-25-21,04-21,5.0443,0.0,4.5370,,0.1368,,,0.3027,,0.00,,0.0983,0.0887,(0.0002),,(0.1811),,0.1544,0.0017,0.0428,,,,,,,,,,,5.181099999999999,202.7789,237.15,439.9289,371.48,362.34,733.8199999999999,,3%,,3.0,,
General Power (GP) Secondary,MEDIUM SECONDARY,40.0,200.0,,,03-26-21,04-25-21,04-21,5.1465,0.0,4.5370,,0.1368,,,0.3027,,0.00,,0.0983,0.0887,(0.0002),,(0.0789),,0.1544,0.0017,0.0428,,,,,,,,,,,5.283299999999999,225.3885,237.15,462.5385,845.17,849.44,1694.6100000000001,,3%,,3.0,1.4%,0.7%
General Power (GP) Secondary,LARGE SECONDARY,200.0,750.0,,,03-26-21,04-25-21,04-21,5.1465,0.0,4.5370,,0.1368,,,0.3027,,0.00,,0.0983,0.0887,(0.0002),,(0.0789),,0.1544,0.0017,0.0428,,,,,,,,,,,5.283299999999999,225.3885,237.15,462.5385,"3,505.46","3,525.12",0.0,,3%,,3.0,1.4%,0.7%
General Power (GP) Secondary,VERY LARGE SECONDARY,200.0,750.0,,,03-26-21,04-25-21,04-21,5.1465,0.0,4.5370,,0.1368,,,0.3027,,0.00,,0.0983,0.0887,(0.0002),,(0.0789),,0.1544,0.0017,0.0428,,,,,,,,,,,5.283299999999999,225.3885,237.15,462.5385,"12,726.30","12,075.11",0.0,,3%,,3.0,1.4%,0.7%
GP 13.8 KV and below,MEDIUM 13.8 KV AND BELOW,40.0,200.0,,,03-26-21,04-25-21,04-21,5.0019,0.0,4.5370,,0.0513,,,0.1581,,0.00,,0.0983,0.0887,(0.0002),,(0.0789),,0.1544,0.0017,0.0428,,,,,,,,,,,5.0531999999999995,232.2734,182.66,414.9334,845.17,849.44,1694.6100000000001,,3%,,3.0,1.4%,0.7%
GP 13.8 KV and below,LARGE 13.8 KV AND BELOW,200.0,750.0,,,03-26-21,04-25-21,04-21,5.0019,0.0,4.5370,,0.0513,,,0.1581,,0.00,,0.0983,0.0887,(0.0002),,(0.0789),,0.1544,0.0017,0.0428,,,,,,,,,,,5.0531999999999995,232.2734,182.66,414.9334,"3,505.46","3,525.12",0.0,,3%,,3.0,1.4%,0.7%
GP 13.8 KV and below,VERY LARGE 13.8 KV AND BELOW,200.0,750.0,,,03-26-21,04-25-21,04-21,5.0019,0.0,4.5370,,0.0513,,,0.1581,,0.00,,0.0983,0.0887,(0.0002),,(0.0789),,0.1544,0.0017,0.0428,,,,,,,,,,,5.0531999999999995,232.2734,182.66,414.9334,"12,726.30","12,075.11",0.0,,3%,,3.0,1.4%,0.7%
GP 34.5 KV,MEDIUM 34.5 KV,40.0,200.0,,,03-26-21,04-25-21,04-21,5.0019,0.0,4.5370,,0.0513,,,0.1581,,0.00,,0.0983,0.0887,(0.0002),,(0.0789),,0.1544,0.0017,0.0428,,,,,,,,,,,5.0531999999999995,255.1013,182.66,437.7613,845.17,849.44,1694.6100000000001,,3%,,3.0,1.4%,0.7%
GP 34.5 KV,LARGE 34.5 KV,200.0,750.0,,,03-26-21,04-25-21,04-21,5.0019,0.0,4.5370,,0.0513,,,0.1581,,0.00,,0.0983,0.0887,(0.0002),,(0.0789),,0.1544,0.0017,0.0428,,,,,,,,,,,5.0531999999999995,255.1013,182.66,437.7613,"3,505.46","3,525.12",0.0,,3%,,3.0,1.4%,0.7%
GP 34.5 KV,VERY LARGE AND EXTRA LARGE 34.5 KV,200.0,750.0,,,03-26-21,04-25-21,04-21,5.0019,0.0,4.5370,,0.0513,,,0.1581,,0.00,,0.0983,0.0887,(0.0002),,(0.0789),,0.1544,0.0017,0.0428,,,,,,,,,,,5.0531999999999995,255.1013,182.66,437.7613,"12,726.30","12,075.11",0.0,,3%,,3.0,1.4%,0.7%
GP 115 KV / 69 KV,LARGE 115 KV/69 KV,200.0,750.0,,,03-26-21,04-25-21,04-21,4.9058,0.0,4.5370,,0.0513,,,0.0620,,0.00,,0.0983,0.0887,(0.0002),,(0.0789),,0.1544,0.0017,0.0428,,,,,,,,,,,4.9571,228.7692,143.32,372.0892,"3,505.46","3,525.12",0.0,,3%,,3.0,1.4%,0.7%
GP 115 KV / 69 KV,VERY LARGE AND EXTRA LARGE 115 KV/69 KV,200.0,750.0,,,03-26-21,04-25-21,04-21,4.9058,0.0,4.5370,,0.0513,,,0.0620,,0.00,,0.0983,0.0887,(0.0002),,(0.0789),,0.1544,0.0017,0.0428,,,,,,,,,,,4.9571,228.7692,143.32,372.0892,"12,726.30","12,075.11",0.0,,3%,,3.0,1.4%,0.7%
GHMSCI,GHMSCI,,,,,03-26-21,04-25-21,04-21,5.1089,0.0,4.5370,0.7495,0.8667,,,0.3027,,0.00,,0.0983,0.0887,(0.0002),,(0.1165),,0.1544,0.0017,0.0428,,,,,,,,,,,6.725099999999999,,,0.0,278.59,278.46,557.05,,,,0.0,,
FLAT STREETLIGHTS,Per kWh,,,,,03-26-21,04-25-21,04-21,5.5879,0.0,4.5370,0.6667,2.0082,0.6495,,0.3027,,0,,0.0983,0.0887,(0.0002),,(0.2870),,0.1544,0.0017,0.0428,,,,,,,,,,,8.262799999999999,,,0.0,,,0.0,,,,0.0,,
FLAT STREETLIGHTS,"125 W Mercury, 70 W HPS(or equivalent)",,,,,03-26-21,04-25-21,04-21,234.6916,0.0,190.55,28.00,84.34,27.28,,12.71,,0.00,,4.13,3.73,(0.0084),,(12.05),,6.48,0.07,1.80,,,,,,,,,,,347.0316,,,0.0,,,0.0,,,,0.0,,
