Customer Class_,Customer Subclass_,Lower Limit Demand_,Upper Limit Demand_,Lower Limit Consumption_,Upper Limit Consumption_,Supply Period Start_,Supply Period End_,Supply Period_,kWh Attributable_,kW Attributable_,Generation Charge_per kWh,Transmission Charge_per kWh,Distribution Charge_per kWh,Supply Charge_per kWh,Metering Charge_per kWh,System Loss Charge_per kWh,UC-ME_per kWh,UC-EC_per kWh,UC-SCC_per kWh,Fit-All (Renewable)_per kWh,Lifeline Rate Subsidy_per kWh,Senior Citizen Subsidy_per kWh,Power Act Reduction_per kWh,Distribution Rate True-Up_per kWh,Current RPT Charge_per kWh,UC-ME for (NPC-SPUG)_per kWh,UC-ME for (RED-CI)_per kWh,UC-SD_per kWh,Prev. Mos' Adj on Gen Cost_per kWh,Dist Rate True-Up 1_per kWh,Dist Rate True-Up 2_per kWh,Dist Rate True-Up 3_per kWh,Dist Rate True-Up 4_per kWh,Cross Subsidy Charge_per kWh,For Non-lifeline: Lifeline Subsidy_per kWh,Current RPT_per kWh,Prev. Mos' Adj on Gen_per kWh,Reset Cost Adjustment_per kWh,Total per kWh_,Transmission Charge_per kW,Distribution Charge_per kW,Total per kW_,Supply Charge_per cust/mo,Metering Charge_per cust/mo,Total per cust/mo_,Lifeline Discount_%,Special Discount_%,For Lifeline: Applicable Discounts_%,Total %_,Power Factor Adj_Penalty,Power Factor Adj_Disc
GP 13.8 KV and below,MEDIUM 13.8 KV AND BELOW,40.0,200.0,,,12-26-12,01-25-13,01-13,6.3499,0.0,5.7910,,0.0600,,,0.2650,0.1163,0.0025,,,0.1333,0.0001,,,,,,,,,,,,0.0103,,,0.0314,,6.4098999999999995,300.41,213.74,514.1500000000001,989.00,994.00,1983.0,,3%,,3.0,1.4%,0.7%
GP 13.8 KV and below,LARGE 13.8 KV AND BELOW,200.0,750.0,,,12-26-12,01-25-13,01-13,6.3499,0.0,5.7910,,0.0600,,,0.2650,0.1163,0.0025,,,0.1333,0.0001,,,,,,,,,,,,0.0103,,,0.0314,,6.4098999999999995,300.41,213.74,514.1500000000001,"4,102.00","4,125.00",0.0,,3%,,3.0,1.4%,0.7%
GP 13.8 KV and below,VERY LARGE 13.8 KV AND BELOW,200.0,750.0,,,12-26-12,01-25-13,01-13,6.3499,0.0,5.7910,,0.0600,,,0.2650,0.1163,0.0025,,,0.1333,0.0001,,,,,,,,,,,,0.0103,,,0.0314,,6.4098999999999995,300.41,213.74,514.1500000000001,"14,892.00","14,130.00",0.0,,3%,,3.0,1.4%,0.7%
GP 34.5 KV,MEDIUM 34.5 KV,40.0,200.0,,,12-26-12,01-25-13,01-13,6.3499,0.0,5.7910,,0.0600,,,0.2650,0.1163,0.0025,,,0.1333,0.0001,,,,,,,,,,,,0.0103,,,0.0314,,6.4098999999999995,336.62,213.74,550.36,989.00,994.00,1983.0,,3%,,3.0,1.4%,0.7%
GP 34.5 KV,LARGE 34.5 KV,200.0,750.0,,,12-26-12,01-25-13,01-13,6.3499,0.0,5.7910,,0.0600,,,0.2650,0.1163,0.0025,,,0.1333,0.0001,,,,,,,,,,,,0.0103,,,0.0314,,6.4098999999999995,336.62,213.74,550.36,"4,102.00","4,125.00",0.0,,3%,,3.0,1.4%,0.7%
GP 34.5 KV,VERY LARGE AND EXTRA LARGE 34.5 KV,200.0,750.0,,,12-26-12,01-25-13,01-13,6.3499,0.0,5.7910,,0.0600,,,0.2650,0.1163,0.0025,,,0.1333,0.0001,,,,,,,,,,,,0.0103,,,0.0314,,6.4098999999999995,336.62,213.74,550.36,"14,892.00","14,130.00",0.0,,3%,,3.0,1.4%,0.7%
GP 115 KV / 69 KV,GP 115 KV / 69 KV,,,,,12-26-12,01-25-13,01-13,6.1573,0.0,5.7910,,0.0600,,,0.0724,0.1163,0.0025,,,0.1333,0.0001,,,,,,,,,,,,0.0103,,,0.0314,,6.2173,253.76,167.46,421.22,"14,892.00","14,130.00",0.0,,3%,,3.0,1.4%,0.7%
GHMSCI,GHMSCI,,,,,12-26-12,01-25-13,01-13,6.7407,0.0,5.7910,0.9840,1.0143,,,0.6558,0.1163,0.0025,,,0.1333,0.0001,,,,,,,,,,,,0.0103,,,0.0314,,8.739,,,0.0,326.00,325.84,651.8399999999999,,,,0.0,,
FLAT STREETLIGHTS,Per kWh,,,,,12-26-12,01-25-13,01-13,7.5007,0.0,5.7910,0.8511,2.3500,0.7600,,0.6558,0.1163,0.0025,,,0.1333,0.0001,,,,,,,,,,,,0.0103,,,0.0314,,10.7018,,,0.0,,,0.0,,,,0.0,,
FLAT STREETLIGHTS,"125 W Mercury, 70 W HPS(or equivalent)",,,,,12-26-12,01-25-13,01-13,315.0242,0.0,243.22,35.75,98.70,31.92,,27.54,4.88,0.11,,,5.60,0.0042,,,,,,,,,,,,0.43,,,1.32,,449.4742,,,0.0,,,0.0,,,,0.0,,
