Charge,Customer Class,Customer Subclass,Lower Limit Demand,Upper Limit Demand,Lower Limit Consumption,Upper Limit Consumption,Generation Charge,Transmission Charge,Transmission Charge,Distribution Charge,Distribution Charge,Supply Charge,Supply Charge,Metering Charge,Metering Charge,System Loss Charge,UC-ME,UC-EC,UC-SCC,Fit-All (Renewable),Lifeline Rate Subsidy,Senior Citizen Subsidy,Lifeline Discount,Special Discount,Power Factor Adj,Power Factor Adj,Supply Period,Supply Period Start,Supply Period End,Power Act Reduction,Distribution Rate True-Up,Current RPT Charge,UC-ME for (NPC-SPUG),UC-ME for (RED-CI),UC-SD,Prev. Mos' Adj on Gen Cost,Dist Rate True-Up 1,Dist Rate True-Up 2,Dist Rate True-Up 3,Dist Rate True-Up 4,Cross Subsidy Charge,For Non-lifeline: Lifeline Subsidy,For Lifeline: Applicable Discounts,Current RPT,Prev. Mos' Adj on Gen,Reset Cost Adjustment,kWh Attributable,kW Attributable
Unit,,,,,,,per kWh,per kWh,per kW,per kWh,per kW,per kWh,per cust/mo,per kWh,per cust/mo,per kWh,per kWh,per kWh,per kWh,per kWh,per kWh,per kWh,%,%,Penalty,Disc,,,,per kWh,per kWh,per kWh,per kWh,per kWh,per kWh,per kWh,per kWh,per kWh,per kWh,per kWh,per kWh,per kWh,%,per kWh,per kWh,per kWh,,
522,FLAT STREETLIGHTS,"250 W Mercury, 150 W HPS(or equivalent)",,,,,358.39,47.46,,134.55,,43.52,,,,31.02,10.46,0.17,12.98,17.17,5.98,0.0067,,,,,Aug-2018,07-26-2018,08-25-2018,,,,,,1.78,,,,,,,,,,,,123.08670000000001,0.0
523,FLAT STREETLIGHTS,"400 W Mercury, 250 W HPS(or equivalent)",,,,,599.10,79.34,,224.92,,72.74,,,,51.86,17.48,0.28,21.71,28.71,10.00,0.0112,,,,,Aug-2018,07-26-2018,08-25-2018,,,,,,2.97,,,,,,,,,,,,205.76120000000003,0.0
524,FLAT STREETLIGHTS,400 W HPS(or equivalent),,,,,930.74,123.26,,349.43,,113.01,,,,80.56,27.16,0.44,33.72,44.60,15.54,0.0174,,,,,Aug-2018,07-26-2018,08-25-2018,,,,,,4.61,,,,,,,,,,,,319.6574,0.0
525,Residential,0 TO 20 KWH,,,0.0,20,4.9620,0.6882,,1.0012,,0.5085,16.73,0.3377,5.00,0.4395,0.1561,0.0025,0.0543,0.2226,,,100.00%,,,,Aug-2019,07-26-2019,08-25-2019,,,,,,0.0428,,,,,,,,,,,,1.764,0.0
526,Residential,21 TO 50 KWH,,,21.0,50,4.9620,0.6882,,1.0012,,0.5085,16.73,0.3377,5.00,0.4395,0.1561,0.0025,0.0543,0.2226,,,50.00%,,,,Aug-2019,07-26-2019,08-25-2019,,,,,,0.0428,,,,,,,,,,,,1.764,0.0
527,Residential,51 TO 70 KWH,,,51.0,70,4.9620,0.6882,,1.0012,,0.5085,16.73,0.3377,5.00,0.4395,0.1561,0.0025,0.0543,0.2226,,,35.00%,,,,Aug-2019,07-26-2019,08-25-2019,,,,,,0.0428,,,,,,,,,,,,1.764,0.0
528,Residential,71 TO 100 KWH,,,71.0,100,4.9620,0.6882,,1.0012,,0.5085,16.73,0.3377,5.00,0.4395,0.1561,0.0025,0.0543,0.2226,,,20.00%,,,,Aug-2019,07-26-2019,08-25-2019,,,,,,0.0428,,,,,,,,,,,,1.764,0.0
529,Residential,101 TO 200 KWH,,,101.0,200,4.9620,0.6882,,1.0012,,0.5085,16.73,0.3377,5.00,0.4395,0.1561,0.0025,0.0543,0.2226,0.0756,0.0001,,,,,Aug-2019,07-26-2019,08-25-2019,,,,,,0.0428,,,,,,,,,,,,1.8397,0.0
530,Residential,201 TO 300 KWH,,,201.0,300,4.9620,0.6882,,1.3183,,0.5085,16.73,0.3377,5.00,0.4395,0.1561,0.0025,0.0543,0.2226,0.0756,0.0001,,,,,Aug-2019,07-26-2019,08-25-2019,,,,,,0.0428,,,,,,,,,,,,1.8397,0.0
531,Residential,301 TO 400 KWH,,,301.0,400,4.9620,0.6882,,1.6175,,0.5085,16.73,0.3377,5.00,0.4395,0.1561,0.0025,0.0543,0.2226,0.0756,0.0001,,,,,Aug-2019,07-26-2019,08-25-2019,,,,,,0.0428,,,,,,,,,,,,1.8397,0.0
532,Residential,OVER 400 KWH,,,400.0,,4.9620,0.6882,,2.1387,,0.5085,16.73,0.3377,5.00,0.4395,0.1561,0.0025,0.0543,0.2226,0.0756,0.0001,,,,,Aug-2019,07-26-2019,08-25-2019,,,,,,0.0428,,,,,,,,,,,,1.8397,0.0
533,General Service A,0 TO 200 KWH,,,0.0,200,4.9620,0.6882,,1.0012,,0.5085,16.73,0.3377,5.00,0.4395,0.1561,0.0025,0.0543,0.2226,0.0756,0.0001,,5%,,,Aug-2019,07-26-2019,08-25-2019,,,,,,0.0428,,,,,,,,,,,,1.8397,0.0
534,General Service A,201 TO 300 KWH,,,201.0,300,4.9620,0.6882,,1.3183,,0.5085,16.73,0.3377,5.00,0.4395,0.1561,0.0025,0.0543,0.2226,0.0756,0.0001,,5%,,,Aug-2019,07-26-2019,08-25-2019,,,,,,0.0428,,,,,,,,,,,,1.8397,0.0
535,General Service A,301 TO 400 KWH,,,301.0,400,4.9620,0.6882,,1.6175,,0.5085,16.73,0.3377,5.00,0.4395,0.1561,0.0025,0.0543,0.2226,0.0756,0.0001,,5%,,,Aug-2019,07-26-2019,08-25-2019,,,,,,0.0428,,,,,,,,,,,,1.8397,0.0
536,General Service A,OVER 400 KWH,,,400.0,,4.9620,0.6882,,2.1387,,0.5085,16.73,0.3377,5.00,0.4395,0.1561,0.0025,0.0543,0.2226,0.0756,0.0001,,5%,,,Aug-2019,07-26-2019,08-25-2019,,,,,,0.0428,,,,,,,,,,,,1.8397,0.0
537,General Service B,General Service B,5.0,40.0,,,4.9620,,199.5900,0.1368,237.15,,371.48,,362.34,0.4395,0.1561,0.0025,0.0543,0.2226,0.0756,0.0001,,3%,,,Aug-2019,07-26-2019,08-25-2019,,,,,,0.0428,,,,,,,,,,,,0.9935,0.0
538,General Power (GP) Secondary,MEDIUM SECONDARY,40.0,200.0,,,4.9620,,231.1400,0.1368,237.15,,845.17,,849.44,0.4395,0.1561,0.0025,0.0543,0.2226,0.0756,0.0001,,3%,1.4%,0.7%,Aug-2019,07-26-2019,08-25-2019,,,,,,0.0428,,,,,,,,,,,,0.9935,0.0
539,General Power (GP) Secondary,LARGE SECONDARY,200.0,750.0,,,4.9620,,231.1400,0.1368,237.15,,"3,505.46",,"3,525.12",0.4395,0.1561,0.0025,0.0543,0.2226,0.0756,0.0001,,3%,1.4%,0.7%,Aug-2019,07-26-2019,08-25-2019,,,,,,0.0428,,,,,,,,,,,,0.9935,0.0
540,General Power (GP) Secondary,VERY LARGE SECONDARY,750.0,10000.0,,,4.9620,,231.1400,0.1368,237.15,,"12,726.30",,"12,075.11",0.4395,0.1561,0.0025,0.0543,0.2226,0.0756,0.0001,,3%,1.4%,0.7%,Aug-2019,07-26-2019,08-25-2019,,,,,,0.0428,,,,,,,,,,,,0.9935,0.0
541,GP 13.8 KV and below,MEDIUM 13.8 KV AND BELOW,40.0,200.0,,,4.9620,,256.0700,0.0513,182.66,,845.17,,849.44,0.2006,0.1561,0.0025,0.0543,0.2226,0.0756,0.0001,,3%,1.4%,0.7%,Aug-2019,07-26-2019,08-25-2019,,,,,,0.0428,,,,,,,,,,,,0.7545999999999999,0.0
542,GP 13.8 KV and below,LARGE 13.8 KV AND BELOW,200.0,750.0,,,4.9620,,256.0700,0.0513,182.66,,"3,505.46",,"3,525.12",0.2006,0.1561,0.0025,0.0543,0.2226,0.0756,0.0001,,3%,1.4%,0.7%,Aug-2019,07-26-2019,08-25-2019,,,,,,0.0428,,,,,,,,,,,,0.7545999999999999,0.0
543,GP 13.8 KV and below,VERY LARGE 13.8 KV AND BELOW,750.0,10000.0,,,4.9620,,256.0700,0.0513,182.66,,"12,726.30",,"12,075.11",0.2006,0.1561,0.0025,0.0543,0.2226,0.0756,0.0001,,3%,1.4%,0.7%,Aug-2019,07-26-2019,08-25-2019,,,,,,0.0428,,,,,,,,,,,,0.7545999999999999,0.0
544,GP 34.5 KV,MEDIUM 34.5 KV,40.0,200.0,,,4.9620,,301.5800,0.0513,182.66,,845.17,,849.44,0.2006,0.1561,0.0025,0.0543,0.2226,0.0756,0.0001,,3%,1.4%,0.7%,Aug-2019,07-26-2019,08-25-2019,,,,,,0.0428,,,,,,,,,,,,0.7545999999999999,0.0
545,GP 34.5 KV,LARGE 34.5 KV,200.0,750.0,,,4.9620,,301.5800,0.0513,182.66,,"3,505.46",,"3,525.12",0.2006,0.1561,0.0025,0.0543,0.2226,0.0756,0.0001,,3%,1.4%,0.7%,Aug-2019,07-26-2019,08-25-2019,,,,,,0.0428,,,,,,,,,,,,0.7545999999999999,0.0
546,GP 34.5 KV,VERY LARGE AND EXTRA LARGE 34.5 KV,750.0,10000.0,,,4.9620,,301.5800,0.0513,182.66,,"12,726.30",,"12,075.11",0.2006,0.1561,0.0025,0.0543,0.2226,0.0756,0.0001,,3%,1.4%,0.7%,Aug-2019,07-26-2019,08-25-2019,,,,,,0.0428,,,,,,,,,,,,0.7545999999999999,0.0
547,GP 115 KV / 69 KV,LARGE 115 KV/69 KV,200.0,750.0,,,4.9620,,226.7300,0.0513,143.32,,"3,505.46",,"3,525.12",0.0763,0.1561,0.0025,0.0543,0.2226,0.0756,0.0001,,3%,1.4%,0.7%,Aug-2019,07-26-2019,08-25-2019,,,,,,0.0428,,,,,,,,,,,,0.6303,0.0
548,GP 115 KV / 69 KV,VERY LARGE AND EXTRA LARGE 115 KV/69 KV,750.0,10000.0,,,4.9620,,226.7300,0.0513,143.32,,"12,726.30",,"12,075.11",0.0763,0.1561,0.0025,0.0543,0.2226,0.0756,0.0001,,3%,1.4%,0.7%,Aug-2019,07-26-2019,08-25-2019,,,,,,0.0428,,,,,,,,,,,,0.6303,0.0
549,GHMSCI,GHMSCI,,,,,4.9620,0.7512,,0.8667,,,278.59,,278.46,0.4395,0.1561,0.0025,0.0543,0.2226,0.0756,0.0001,,,,,Aug-2019,07-26-2019,08-25-2019,,,,,,0.0428,,,,,,,,,,,,0.9935,0.0
550,FLAT STREETLIGHTS,Per kWh,,,,,4.9620,0.6965,,2.0082,,0.6495,,,,0.4395,0.1561,0.0025,0.0543,0.2226,0.0756,0.0001,,,,,Aug-2019,07-26-2019,08-25-2019,,,,,,0.0428,,,,,,,,,,,,1.643,0.0
551,FLAT STREETLIGHTS,"125 W Mercury, 70 W HPS(or equivalent)",,,,,208.40,29.25,,84.34,,27.28,,,,18.46,6.56,0.11,2.28,9.35,3.18,0.0042,,,,,Aug-2019,07-26-2019,08-25-2019,,,,,,1.80,,,,,,,,,,,,69.02420000000001,0.0
552,FLAT STREETLIGHTS,"250 W Mercury, 150 W HPS(or equivalent)",,,,,332.45,46.67,,134.55,,43.52,,,,29.45,10.46,0.17,3.64,14.91,5.07,0.0067,,,,,Aug-2019,07-26-2019,08-25-2019,,,,,,2.87,,,,,,,,,,,,110.0967,0.0
553,FLAT STREETLIGHTS,"400 W Mercury, 250 W HPS(or equivalent)",,,,,555.74,78.01,,224.92,,72.74,,,,49.22,17.48,0.28,6.08,24.93,8.47,0.0112,,,,,Aug-2019,07-26-2019,08-25-2019,,,,,,4.79,,,,,,,,,,,,184.00119999999998,0.0
554,FLAT STREETLIGHTS,400 W HPS(or equivalent),,,,,863.39,121.19,,349.43,,113.01,,,,76.47,27.16,0.44,9.45,38.73,13.15,0.0174,,,,,Aug-2019,07-26-2019,08-25-2019,,,,,,7.45,,,,,,,,,,,,285.87739999999997,0.0
555,Residential,0 TO 20 KWH,,,0.0,20,4.1241,0.7954,,1.0012,,0.5085,16.73,0.3377,5.00,0.4172,0.1561,0.0000,,0.0495,,,100.00%,,,,Aug-2020,07-26-2020,08-25-2020,,,,,,0.0428,,,,,,,,,,,,1.5118,0.0
556,Residential,21 TO 50 KWH,,,21.0,50,4.1241,0.7954,,1.0012,,0.5085,16.73,0.3377,5.00,0.4172,0.1561,0.0000,,0.0495,,,50.00%,,,,Aug-2020,07-26-2020,08-25-2020,,,,,,0.0428,,,,,,,,,,,,1.5118,0.0
557,Residential,51 TO 70 KWH,,,51.0,70,4.1241,0.7954,,1.0012,,0.5085,16.73,0.3377,5.00,0.4172,0.1561,0.0000,,0.0495,,,35.00%,,,,Aug-2020,07-26-2020,08-25-2020,,,,,,0.0428,,,,,,,,,,,,1.5118,0.0
558,Residential,71 TO 100 KWH,,,71.0,100,4.1241,0.7954,,1.0012,,0.5085,16.73,0.3377,5.00,0.4172,0.1561,0.0000,,0.0495,,,20.00%,,,,Aug-2020,07-26-2020,08-25-2020,,,,,,0.0428,,,,,,,,,,,,1.5118,0.0
559,Residential,101 TO 200 KWH,,,101.0,200,4.1241,0.7954,,1.0012,,0.5085,16.73,0.3377,5.00,0.4172,0.1561,0.0000,,0.0495,0.0654,0.0001,,,,,Aug-2020,07-26-2020,08-25-2020,,,,,,0.0428,,,,,,,,,,,,1.5773,0.0
560,Residential,201 TO 300 KWH,,,201.0,300,4.1241,0.7954,,1.3183,,0.5085,16.73,0.3377,5.00,0.4172,0.1561,0.0000,,0.0495,0.0654,0.0001,,,,,Aug-2020,07-26-2020,08-25-2020,,,,,,0.0428,,,,,,,,,,,,1.5773,0.0
561,Residential,301 TO 400 KWH,,,301.0,400,4.1241,0.7954,,1.6175,,0.5085,16.73,0.3377,5.00,0.4172,0.1561,0.0000,,0.0495,0.0654,0.0001,,,,,Aug-2020,07-26-2020,08-25-2020,,,,,,0.0428,,,,,,,,,,,,1.5773,0.0
562,Residential,OVER 400 KWH,,,400.0,,4.1241,0.7954,,2.1387,,0.5085,16.73,0.3377,5.00,0.4172,0.1561,0.0000,,0.0495,0.0654,0.0001,,,,,Aug-2020,07-26-2020,08-25-2020,,,,,,0.0428,,,,,,,,,,,,1.5773,0.0
563,General Service A,0 TO 200 KWH,,,0.0,200,4.1241,0.7954,,1.0012,,0.5085,16.73,0.3377,5.00,0.4172,0.1561,0.0000,,0.0495,0.0654,0.0001,,5%,,,Aug-2020,07-26-2020,08-25-2020,,,,,,0.0428,,,,,,,,,,,,1.5773,0.0
564,General Service A,201 TO 300 KWH,,,201.0,300,4.1241,0.7954,,1.3183,,0.5085,16.73,0.3377,5.00,0.4172,0.1561,0.0000,,0.0495,0.0654,0.0001,,5%,,,Aug-2020,07-26-2020,08-25-2020,,,,,,0.0428,,,,,,,,,,,,1.5773,0.0
565,General Service A,301 TO 400 KWH,,,301.0,400,4.1241,0.7954,,1.6175,,0.5085,16.73,0.3377,5.00,0.4172,0.1561,0.0000,,0.0495,0.0654,0.0001,,5%,,,Aug-2020,07-26-2020,08-25-2020,,,,,,0.0428,,,,,,,,,,,,1.5773,0.0
566,General Service A,OVER 400 KWH,,,400.0,,4.1241,0.7954,,2.1387,,0.5085,16.73,0.3377,5.00,0.4172,0.1561,0.0000,,0.0495,0.0654,0.0001,,5%,,,Aug-2020,07-26-2020,08-25-2020,,,,,,0.0428,,,,,,,,,,,,1.5773,0.0
567,General Service B,General Service B,5.0,40.0,,,4.1241,,249.4600,0.1368,237.15,,371.48,,362.34,0.4172,0.1561,0.0000,,0.0495,0.0654,0.0001,,3%,,,Aug-2020,07-26-2020,08-25-2020,,,,,,0.0428,,,,,,,,,,,,0.7311000000000001,0.0
568,General Power (GP) Secondary,MEDIUM SECONDARY,40.0,200.0,,,4.1241,,289.7200,0.1368,237.15,,845.17,,849.44,0.4172,0.1561,0.0000,,0.0495,0.0654,0.0001,,3%,1.4%,0.7%,Aug-2020,07-26-2020,08-25-2020,,,,,,0.0428,,,,,,,,,,,,0.7311000000000001,0.0
569,General Power (GP) Secondary,LARGE SECONDARY,200.0,750.0,,,4.1241,,289.7200,0.1368,237.15,,"3,505.46",,"3,525.12",0.4172,0.1561,0.0000,,0.0495,0.0654,0.0001,,3%,1.4%,0.7%,Aug-2020,07-26-2020,08-25-2020,,,,,,0.0428,,,,,,,,,,,,0.7311000000000001,0.0
570,General Power (GP) Secondary,VERY LARGE SECONDARY,750.0,10000.0,,,4.1241,,289.7200,0.1368,237.15,,"12,726.30",,"12,075.11",0.4172,0.1561,0.0000,,0.0495,0.0654,0.0001,,3%,1.4%,0.7%,Aug-2020,07-26-2020,08-25-2020,,,,,,0.0428,,,,,,,,,,,,0.7311000000000001,0.0
571,GP 13.8 KV and below,MEDIUM 13.8 KV AND BELOW,40.0,200.0,,,4.1241,,286.9600,0.0513,182.66,,845.17,,849.44,0.2128,0.1561,0.0000,,0.0495,0.0654,0.0001,,3%,1.4%,0.7%,Aug-2020,07-26-2020,08-25-2020,,,,,,0.0428,,,,,,,,,,,,0.5267,0.0
572,GP 13.8 KV and below,LARGE 13.8 KV AND BELOW,200.0,750.0,,,4.1241,,286.9600,0.0513,182.66,,"3,505.46",,"3,525.12",0.2128,0.1561,0.0000,,0.0495,0.0654,0.0001,,3%,1.4%,0.7%,Aug-2020,07-26-2020,08-25-2020,,,,,,0.0428,,,,,,,,,,,,0.5267,0.0
573,GP 13.8 KV and below,VERY LARGE 13.8 KV AND BELOW,750.0,10000.0,,,4.1241,,286.9600,0.0513,182.66,,"12,726.30",,"12,075.11",0.2128,0.1561,0.0000,,0.0495,0.0654,0.0001,,3%,1.4%,0.7%,Aug-2020,07-26-2020,08-25-2020,,,,,,0.0428,,,,,,,,,,,,0.5267,0.0
574,GP 34.5 KV,MEDIUM 34.5 KV,40.0,200.0,,,4.1241,,319.0300,0.0513,182.66,,845.17,,849.44,0.2128,0.1561,0.0000,,0.0495,0.0654,0.0001,,3%,1.4%,0.7%,Aug-2020,07-26-2020,08-25-2020,,,,,,0.0428,,,,,,,,,,,,0.5267,0.0
575,GP 34.5 KV,LARGE 34.5 KV,200.0,750.0,,,4.1241,,319.0300,0.0513,182.66,,"3,505.46",,"3,525.12",0.2128,0.1561,0.0000,,0.0495,0.0654,0.0001,,3%,1.4%,0.7%,Aug-2020,07-26-2020,08-25-2020,,,,,,0.0428,,,,,,,,,,,,0.5267,0.0
576,GP 34.5 KV,VERY LARGE AND EXTRA LARGE 34.5 KV,750.0,10000.0,,,4.1241,,319.0300,0.0513,182.66,,"12,726.30",,"12,075.11",0.2128,0.1561,0.0000,,0.0495,0.0654,0.0001,,3%,1.4%,0.7%,Aug-2020,07-26-2020,08-25-2020,,,,,,0.0428,,,,,,,,,,,,0.5267,0.0
577,GP 115 KV / 69 KV,LARGE 115 KV/69 KV,200.0,750.0,,,4.1241,,244.1800,0.0513,143.32,,"3,505.46",,"3,525.12",0.0768,0.1561,0.0000,,0.0495,0.0654,0.0001,,3%,1.4%,0.7%,Aug-2020,07-26-2020,08-25-2020,,,,,,0.0428,,,,,,,,,,,,0.3907,0.0
578,GP 115 KV / 69 KV,VERY LARGE AND EXTRA LARGE 115 KV/69 KV,750.0,10000.0,,,4.1241,,244.1800,0.0513,143.32,,"12,726.30",,"12,075.11",0.0768,0.1561,0.0000,,0.0495,0.0654,0.0001,,3%,1.4%,0.7%,Aug-2020,07-26-2020,08-25-2020,,,,,,0.0428,,,,,,,,,,,,0.3907,0.0
579,GHMSCI,GHMSCI,,,,,4.1241,0.8620,,0.8667,,,278.59,,278.46,0.4172,0.1561,0.0000,,0.0495,0.0654,0.0001,,,,,Aug-2020,07-26-2020,08-25-2020,,,,,,0.0428,,,,,,,,,,,,0.7311000000000001,0.0
580,FLAT STREETLIGHTS,Per kWh,,,,,4.1241,0.8148,,2.0082,,0.6495,,,,0.4172,0.1561,0,,0.0495,0.0654,0.0001,,,,,Aug-2020,07-26-2020,08-25-2020,,,,,,0.0428,,,,,,,,,,,,1.3806,0.0
581,FLAT STREETLIGHTS,"125 W Mercury, 70 W HPS(or equivalent)",,,,,173.21,34.22,,84.34,,27.28,,,,17.52,6.56,0.00,,2.08,2.75,0.0042,,,,,Aug-2020,07-26-2020,08-25-2020,,,,,,1.80,,,,,,,,,,,,57.9942,0.0
582,FLAT STREETLIGHTS,"250 W Mercury, 150 W HPS(or equivalent)",,,,,276.31,54.59,,134.55,,43.52,,,,27.95,10.46,0.00,,3.32,4.38,0.0067,,,,,Aug-2020,07-26-2020,08-25-2020,,,,,,2.87,,,,,,,,,,,,92.5067,0.0
583,FLAT STREETLIGHTS,"400 W Mercury, 250 W HPS(or equivalent)",,,,,461.90,91.26,,224.92,,72.74,,,,46.73,17.48,0.00,,5.54,7.32,0.0112,,,,,Aug-2020,07-26-2020,08-25-2020,,,,,,4.79,,,,,,,,,,,,154.6112,0.0
584,FLAT STREETLIGHTS,400 W HPS(or equivalent),,,,,717.59,141.78,,349.43,,113.01,,,,72.59,27.16,0.00,,8.61,11.38,0.0174,,,,,Aug-2020,07-26-2020,08-25-2020,,,,,,7.45,,,,,,,,,,,,240.2174,0.0
585,Residential,0 TO 20 KWH,,,0.0,20,4.9322,0.7323,,1.0012,,0.5085,16.73,0.3377,5.00,0.3734,,0.0000,,0.0983,,,100.00%,,,,Aug-2021,07-26-2021,08-25-2021,,(0.2761),0.0066,0.1544,0.0017,0.0428,,,,,,,,,,,,1.2473,0.0
586,Residential,21 TO 50 KWH,,,21.0,50,4.9322,0.7323,,1.0012,,0.5085,16.73,0.3377,5.00,0.3734,,0.0000,,0.0983,,,50.00%,,,,Aug-2021,07-26-2021,08-25-2021,,(0.2761),0.0066,0.1544,0.0017,0.0428,,,,,,,,,,,,1.2473,0.0
587,Residential,51 TO 70 KWH,,,51.0,70,4.9322,0.7323,,1.0012,,0.5085,16.73,0.3377,5.00,0.3734,,0.0000,,0.0983,,,35.00%,,,,Aug-2021,07-26-2021,08-25-2021,,(0.2761),0.0066,0.1544,0.0017,0.0428,,,,,,,,,,,,1.2473,0.0
588,Residential,71 TO 100 KWH,,,71.0,100,4.9322,0.7323,,1.0012,,0.5085,16.73,0.3377,5.00,0.3734,,0.0000,,0.0983,,,20.00%,,,,Aug-2021,07-26-2021,08-25-2021,,(0.2761),0.0066,0.1544,0.0017,0.0428,,,,,,,,,,,,1.2473,0.0
589,Residential,101 TO 200 KWH,,,101.0,200,4.9322,0.7323,,1.0012,,0.5085,16.73,0.3377,5.00,0.3734,,0.0000,,0.0983,0.0703,0.0001,,,,,Aug-2021,07-26-2021,08-25-2021,,(0.2761),0.0066,0.1544,0.0017,0.0428,,,,,,,,,,,,1.3176999999999999,0.0
590,Residential,201 TO 300 KWH,,,201.0,300,4.9322,0.7323,,1.3183,,0.5085,16.73,0.3377,5.00,0.3734,,0.0000,,0.0983,0.0703,0.0001,,,,,Aug-2021,07-26-2021,08-25-2021,,(0.2761),0.0066,0.1544,0.0017,0.0428,,,,,,,,,,,,1.3176999999999999,0.0
591,Residential,301 TO 400 KWH,,,301.0,400,4.9322,0.7323,,1.6175,,0.5085,16.73,0.3377,5.00,0.3734,,0.0000,,0.0983,0.0703,0.0001,,,,,Aug-2021,07-26-2021,08-25-2021,,(0.2761),0.0066,0.1544,0.0017,0.0428,,,,,,,,,,,,1.3176999999999999,0.0
592,Residential,OVER 400 KWH,,,400.0,,4.9322,0.7323,,2.1387,,0.5085,16.73,0.3377,5.00,0.3734,,0.0000,,0.0983,0.0703,0.0001,,,,,Aug-2021,07-26-2021,08-25-2021,,(0.2761),0.0066,0.1544,0.0017,0.0428,,,,,,,,,,,,1.3176999999999999,0.0
593,General Service A,0 TO 200 KWH,,,0.0,200,4.9322,0.7323,,1.0012,,0.5085,16.73,0.3377,5.00,0.3734,,0.0000,,0.0983,0.0703,0.0001,,5%,,,Aug-2021,07-26-2021,08-25-2021,,(0.2761),0.0066,0.1544,0.0017,0.0428,,,,,,,,,,,,1.3176999999999999,0.0
594,General Service A,201 TO 300 KWH,,,201.0,300,4.9322,0.7323,,1.3183,,0.5085,16.73,0.3377,5.00,0.3734,,0.0000,,0.0983,0.0703,0.0001,,5%,,,Aug-2021,07-26-2021,08-25-2021,,(0.2761),0.0066,0.1544,0.0017,0.0428,,,,,,,,,,,,1.3176999999999999,0.0
595,General Service A,301 TO 400 KWH,,,301.0,400,4.9322,0.7323,,1.6175,,0.5085,16.73,0.3377,5.00,0.3734,,0.0000,,0.0983,0.0703,0.0001,,5%,,,Aug-2021,07-26-2021,08-25-2021,,(0.2761),0.0066,0.1544,0.0017,0.0428,,,,,,,,,,,,1.3176999999999999,0.0
596,General Service A,OVER 400 KWH,,,400.0,,4.9322,0.7323,,2.1387,,0.5085,16.73,0.3377,5.00,0.3734,,0.0000,,0.0983,0.0703,0.0001,,5%,,,Aug-2021,07-26-2021,08-25-2021,,(0.2761),0.0066,0.1544,0.0017,0.0428,,,,,,,,,,,,1.3176999999999999,0.0
597,General Service B,General Service B,5.0,40.0,,,4.9322,,235.9200,0.1368,237.15,,371.48,,362.34,0.3734,,0.0000,,0.0983,0.0703,0.0001,,3%,,,Aug-2021,07-26-2021,08-25-2021,,(0.1811),0.0066,0.1544,0.0017,0.0428,,,,,,,,,,,,0.5665,0.0
598,General Power (GP) Secondary,MEDIUM SECONDARY,40.0,200.0,,,4.9322,,257.7200,0.1368,237.15,,845.17,,849.44,0.3734,,0.0000,,0.0983,0.0703,0.0001,,3%,1.4%,0.7%,Aug-2021,07-26-2021,08-25-2021,,(0.0789),0.0066,0.1544,0.0017,0.0428,,,,,,,,,,,,0.6687000000000001,0.0
599,General Power (GP) Secondary,LARGE SECONDARY,200.0,750.0,,,4.9322,,257.7200,0.1368,237.15,,"3,505.46",,"3,525.12",0.3734,,0.0000,,0.0983,0.0703,0.0001,,3%,1.4%,0.7%,Aug-2021,07-26-2021,08-25-2021,,(0.0789),0.0066,0.1544,0.0017,0.0428,,,,,,,,,,,,0.6687000000000001,0.0
600,General Power (GP) Secondary,VERY LARGE SECONDARY,750.0,10000.0,,,4.9322,,257.7200,0.1368,237.15,,"12,726.30",,"12,075.11",0.3734,,0.0000,,0.0983,0.0703,0.0001,,3%,1.4%,0.7%,Aug-2021,07-26-2021,08-25-2021,,(0.0789),0.0066,0.1544,0.0017,0.0428,,,,,,,,,,,,0.6687000000000001,0.0
601,GP 13.8 KV and below,MEDIUM 13.8 KV AND BELOW,40.0,200.0,,,4.9322,,274.8800,0.0513,182.66,,845.17,,849.44,0.1851,,0.0000,,0.0983,0.0703,0.0001,,3%,1.4%,0.7%,Aug-2021,07-26-2021,08-25-2021,,(0.0789),0.0066,0.1544,0.0017,0.0428,,,,,,,,,,,,0.48040000000000005,0.0
602,GP 13.8 KV and below,LARGE 13.8 KV AND BELOW,200.0,750.0,,,4.9322,,274.8800,0.0513,182.66,,"3,505.46",,"3,525.12",0.1851,,0.0000,,0.0983,0.0703,0.0001,,3%,1.4%,0.7%,Aug-2021,07-26-2021,08-25-2021,,(0.0789),0.0066,0.1544,0.0017,0.0428,,,,,,,,,,,,0.48040000000000005,0.0
603,GP 13.8 KV and below,VERY LARGE 13.8 KV AND BELOW,750.0,10000.0,,,4.9322,,274.8800,0.0513,182.66,,"12,726.30",,"12,075.11",0.1851,,0.0000,,0.0983,0.0703,0.0001,,3%,1.4%,0.7%,Aug-2021,07-26-2021,08-25-2021,,(0.0789),0.0066,0.1544,0.0017,0.0428,,,,,,,,,,,,0.48040000000000005,0.0
604,GP 34.5 KV,MEDIUM 34.5 KV,40.0,200.0,,,4.9322,,301.3800,0.0513,182.66,,845.17,,849.44,0.1851,,0.0000,,0.0983,0.0703,0.0001,,3%,1.4%,0.7%,Aug-2021,07-26-2021,08-25-2021,,(0.0789),0.0066,0.1544,0.0017,0.0428,,,,,,,,,,,,0.48040000000000005,0.0
