Charge,Customer Class,Customer Subclass,Lower Limit Demand,Upper Limit Demand,Lower Limit Consumption,Upper Limit Consumption,Supply Period,Supply Period Start,Supply Period End,kWh Attributable,kW Attributable,Generation Charge,Transmission Charge,Distribution Charge,Supply Charge,Metering Charge,System Loss Charge,UC-ME,UC-EC,UC-SCC,Fit-All (Renewable),Lifeline Rate Subsidy,Senior Citizen Subsidy,Power Act Reduction,Distribution Rate True-Up,Current RPT Charge,UC-ME for (NPC-SPUG),UC-ME for (RED-CI),UC-SD,Prev. Mos' Adj on Gen Cost,Dist Rate True-Up 1,Dist Rate True-Up 2,Dist Rate True-Up 3,Dist Rate True-Up 4,Cross Subsidy Charge,For Non-lifeline: Lifeline Subsidy,Current RPT,Prev. Mos' Adj on Gen,Reset Cost Adjustment,Total per kWh,Transmission Charge,Distribution Charge,Total per kW,Supply Charge,Metering Charge,Total per cust/mo,Lifeline Discount,Special Discount,For Lifeline: Applicable Discounts,Total %,Power Factor Adj,Power Factor Adj
Unit,,,,,,,,,,,,per kWh,per kWh,per kWh,per kWh,per kWh,per kWh,per kWh,per kWh,per kWh,per kWh,per kWh,per kWh,per kWh,per kWh,per kWh,per kWh,per kWh,per kWh,per kWh,per kWh,per kWh,per kWh,per kWh,per kWh,per kWh,per kWh,per kWh,per kWh,,per kW,per kW,,per cust/mo,per cust/mo,,%,%,%,,Penalty,Disc
0,Residential,0 TO 20 KWH,,,0.0,20,Apr-13,03-26-13,04-25-13,1.9614,0.0,5.3873,0.8964,1.1945,0.5950,0.4003,0.6205,0.1163,0.0025,0.1938,,,,(0.0010),,,,,,0.0314,,,,,0.0026,,,,,4.0523,,,0.0,19.57,5.00,24.57,100.00%,,,100.0,,
1,Residential,21 TO 50 KWH,,,21.0,50,Apr-13,03-26-13,04-25-13,1.9614,0.0,5.3873,0.8964,1.1945,0.5950,0.4003,0.6205,0.1163,0.0025,0.1938,,,,(0.0010),,,,,,0.0314,,,,,0.0026,,,,,4.0523,,,0.0,19.57,5.00,24.57,50.00%,,,50.0,,
2,Residential,51 TO 70 KWH,,,51.0,70,Apr-13,03-26-13,04-25-13,1.9614,0.0,5.3873,0.8964,1.1945,0.5950,0.4003,0.6205,0.1163,0.0025,0.1938,,,,(0.0010),,,,,,0.0314,,,,,0.0026,,,,,4.0523,,,0.0,19.57,5.00,24.57,35.00%,,,35.0,,
3,Residential,71 TO 100 KWH,,,71.0,100,Apr-13,03-26-13,04-25-13,1.9614,0.0,5.3873,0.8964,1.1945,0.5950,0.4003,0.6205,0.1163,0.0025,0.1938,,,,(0.0010),,,,,,0.0314,,,,,0.0026,,,,,4.0523,,,0.0,19.57,5.00,24.57,20.00%,,,20.0,,
4,Residential,101 TO 200 KWH,,,101.0,200,Apr-13,03-26-13,04-25-13,2.1161,0.0,5.3873,0.8964,1.1945,0.5950,0.4003,0.6205,0.1163,0.0025,0.1938,,0.1546,0.0001,(0.0010),,,,,,0.0314,,,,,0.0026,,,,,4.207,,,0.0,19.57,5.00,24.57,,,,0.0,,
5,Residential,201 TO 300 KWH,,,201.0,300,Apr-13,03-26-13,04-25-13,2.1161,0.0,5.3873,0.8964,1.5518,0.5950,0.4003,0.6205,0.1163,0.0025,0.1938,,0.1546,0.0001,(0.0010),,,,,,0.0314,,,,,0.0026,,,,,4.5643,,,0.0,19.57,5.00,24.57,,,,0.0,,
6,Residential,301 TO 400 KWH,,,301.0,400,Apr-13,03-26-13,04-25-13,2.1161,0.0,5.3873,0.8964,1.8890,0.5950,0.4003,0.6205,0.1163,0.0025,0.1938,,0.1546,0.0001,(0.0010),,,,,,0.0314,,,,,0.0026,,,,,4.9014999999999995,,,0.0,19.57,5.00,24.57,,,,0.0,,
7,Residential,OVER 400 KWH,,,400.0,,Apr-13,03-26-13,04-25-13,2.1161,0.0,5.3873,0.8964,2.4763,0.5950,0.4003,0.6205,0.1163,0.0025,0.1938,,0.1546,0.0001,(0.0010),,,,,,0.0314,,,,,0.0026,,,,,5.4887999999999995,,,0.0,19.57,5.00,24.57,,,,0.0,,
8,General Service A,0 TO 200 KWH,,,0.0,200,Apr-13,03-26-13,04-25-13,2.1170999999999998,0.0,5.3873,0.8964,1.1945,0.5950,0.4003,0.6205,0.1163,0.0025,0.1938,,0.1546,0.0001,,,,,,,0.0314,,,,,0.0026,,,,,4.208,,,0.0,19.57,5.00,24.57,,5%,,5.0,,
9,General Service A,201 TO 300 KWH,,,201.0,300,Apr-13,03-26-13,04-25-13,2.1170999999999998,0.0,5.3873,0.8964,1.5518,0.5950,0.4003,0.6205,0.1163,0.0025,0.1938,,0.1546,0.0001,,,,,,,0.0314,,,,,0.0026,,,,,4.565300000000001,,,0.0,19.57,5.00,24.57,,5%,,5.0,,
10,General Service A,301 TO 400 KWH,,,301.0,400,Apr-13,03-26-13,04-25-13,2.1170999999999998,0.0,5.3873,0.8964,1.8890,0.5950,0.4003,0.6205,0.1163,0.0025,0.1938,,0.1546,0.0001,,,,,,,0.0314,,,,,0.0026,,,,,4.9025,,,0.0,19.57,5.00,24.57,,5%,,5.0,,
11,General Service A,OVER 400 KWH,,,400.0,,Apr-13,03-26-13,04-25-13,2.1170999999999998,0.0,5.3873,0.8964,2.4763,0.5950,0.4003,0.6205,0.1163,0.0025,0.1938,,0.1546,0.0001,,,,,,,0.0314,,,,,0.0026,,,,,5.4898,,,0.0,19.57,5.00,24.57,,5%,,5.0,,
12,General Service B,General Service B,5.0,40.0,,,Apr-13,03-26-13,04-25-13,1.1218,0.0,5.3873,,0.1600,,,0.6205,0.1163,0.0025,0.1938,,0.1546,0.0001,,,,,,,0.0314,,,,,0.0026,,,,,1.2818,270.82,277.50,548.3199999999999,434.70,424.00,858.7,,3%,,3.0,,
13,General Power (GP) Secondary,MEDIUM SECONDARY,40.0,200.0,,,Apr-13,03-26-13,04-25-13,1.1218,0.0,5.3873,,0.1600,,,0.6205,0.1163,0.0025,0.1938,,0.1546,0.0001,,,,,,,0.0314,,,,,0.0026,,,,,1.2818,300.72,277.50,578.22,989.00,994.00,1983.0,,3%,,3.0,1.4%,0.7%
14,General Power (GP) Secondary,LARGE SECONDARY,200.0,750.0,,,Apr-13,03-26-13,04-25-13,1.1218,0.0,5.3873,,0.1600,,,0.6205,0.1163,0.0025,0.1938,,0.1546,0.0001,,,,,,,0.0314,,,,,0.0026,,,,,1.2818,300.72,277.50,578.22,"4,102.00","4,125.00",0.0,,3%,,3.0,1.4%,0.7%
15,GP 13.8 KV and below,MEDIUM 13.8 KV AND BELOW,40.0,200.0,,,Apr-13,03-26-13,04-25-13,0.746,0.0,5.3873,,0.0600,,,0.2447,0.1163,0.0025,0.1938,,0.1546,0.0001,,,,,,,0.0314,,,,,0.0026,,,,,0.8059999999999999,301.92,213.74,515.6600000000001,989.00,994.00,1983.0,,3%,,3.0,1.4%,0.7%
16,GP 13.8 KV and below,LARGE 13.8 KV AND BELOW,200.0,750.0,,,Apr-13,03-26-13,04-25-13,0.746,0.0,5.3873,,0.0600,,,0.2447,0.1163,0.0025,0.1938,,0.1546,0.0001,,,,,,,0.0314,,,,,0.0026,,,,,0.8059999999999999,301.92,213.74,515.6600000000001,"4,102.00","4,125.00",0.0,,3%,,3.0,1.4%,0.7%
17,GP 13.8 KV and below,VERY LARGE 13.8 KV AND BELOW,750.0,10000.0,,,Apr-13,03-26-13,04-25-13,0.746,0.0,5.3873,,0.0600,,,0.2447,0.1163,0.0025,0.1938,,0.1546,0.0001,,,,,,,0.0314,,,,,0.0026,,,,,0.8059999999999999,301.92,213.74,515.6600000000001,"14,892.00","14,130.00",0.0,,3%,,3.0,1.4%,0.7%
18,GP 34.5 KV,MEDIUM 34.5 KV,40.0,200.0,,,Apr-13,03-26-13,04-25-13,0.746,0.0,5.3873,,0.0600,,,0.2447,0.1163,0.0025,0.1938,,0.1546,0.0001,,,,,,,0.0314,,,,,0.0026,,,,,0.8059999999999999,334.66,213.74,548.4000000000001,989.00,994.00,1983.0,,3%,,3.0,1.4%,0.7%
19,GP 34.5 KV,LARGE 34.5 KV,200.0,750.0,,,Apr-13,03-26-13,04-25-13,0.746,0.0,5.3873,,0.0600,,,0.2447,0.1163,0.0025,0.1938,,0.1546,0.0001,,,,,,,0.0314,,,,,0.0026,,,,,0.8059999999999999,334.66,213.74,548.4000000000001,"4,102.00","4,125.00",0.0,,3%,,3.0,1.4%,0.7%
20,GP 34.5 KV,VERY LARGE AND EXTRA LARGE 34.5 KV,750.0,10000.0,,,Apr-13,03-26-13,04-25-13,0.746,0.0,5.3873,,0.0600,,,0.2447,0.1163,0.0025,0.1938,,0.1546,0.0001,,,,,,,0.0314,,,,,0.0026,,,,,0.8059999999999999,334.66,213.74,548.4000000000001,"14,892.00","14,130.00",0.0,,3%,,3.0,1.4%,0.7%
21,GP 115 KV / 69 KV,GP 115 KV / 69 KV,,,,,Apr-13,03-26-13,04-25-13,0.573,0.0,5.3873,,0.0600,,,0.0717,0.1163,0.0025,0.1938,,0.1546,0.0001,,,,,,,0.0314,,,,,0.0026,,,,,0.633,251.80,167.46,419.26,"14,892.00","14,130.00",0.0,,3%,,3.0,1.4%,0.7%
22,GHMSCI,GHMSCI,,,,,Apr-13,03-26-13,04-25-13,1.1218,0.0,5.3873,1.0905,1.0143,,,0.6205,0.1163,0.0025,0.1938,,0.1546,0.0001,,,,,,,0.0314,,,,,0.0026,,,,,3.2266000000000004,,,0.0,326.00,325.84,651.8399999999999,,,,0.0,,
23,FLAT STREETLIGHTS,Per kWh,,,,,Apr-13,03-26-13,04-25-13,1.8818000000000001,0.0,5.3873,0.8973,2.3500,0.7600,,0.6205,0.1163,0.0025,0.1938,,0.1546,0.0001,,,,,,,0.0314,,,,,0.0026,,,,,5.1291,,,0.0,,,0.0,,,,0.0,,
24,FLAT STREETLIGHTS,"125 W Mercury, 70 W HPS(or equivalent)",,,,,Apr-13,03-26-13,04-25-13,79.0342,0.0,226.27,37.69,98.70,31.92,,26.06,4.88,0.11,8.14,,6.49,0.0042,,,,,,,1.32,,,,,0.11,,,,,215.42419999999998,,,0.0,,,0.0,,,,0.0,,
25,FLAT STREETLIGHTS,"250 W Mercury, 150 W HPS(or equivalent)",,,,,Apr-13,03-26-13,04-25-13,126.0667,0.0,360.95,60.12,157.45,50.92,,41.57,7.79,0.17,12.98,,10.36,0.0067,,,,,,,2.10,,,,,0.17,,,,,343.6367,,,0.0,,,0.0,,,,0.0,,
26,FLAT STREETLIGHTS,"400 W Mercury, 250 W HPS(or equivalent)",,,,,Apr-13,03-26-13,04-25-13,210.7812,0.0,603.38,100.50,263.20,85.12,,69.50,13.03,0.28,21.71,,17.32,0.0112,,,,,,,3.52,,,,,0.29,,,,,574.4812,,,0.0,,,0.0,,,,0.0,,
27,FLAT STREETLIGHTS,400 W HPS(or equivalent),,,,,Apr-13,03-26-13,04-25-13,327.4374,0.0,937.39,156.13,408.90,132.24,,107.97,20.24,0.44,33.72,,26.90,0.0174,,,,,,,5.46,,,,,0.45,,,,,892.4673999999998,,,0.0,,,0.0,,,,0.0,,
28,Residential,0 TO 20 KWH,,,0.0,20,Apr-14,03-26-14,04-25-14,1.9385,0.0,5.8995,1.0165,1.2225,0.6043,0.4066,0.6133,0.1180,0.0025,0.1938,,,,,,,,,,0.0000,,,,,,,,,,4.1775,,,0.0,19.88,5.00,24.88,100.00%,,,100.0,,
29,Residential,21 TO 50 KWH,,,21.0,50,Apr-14,03-26-14,04-25-14,1.9385,0.0,5.8995,1.0165,1.2225,0.6043,0.4066,0.6133,0.1180,0.0025,0.1938,,,,,,,,,,0.0000,,,,,,,,,,4.1775,,,0.0,19.88,5.00,24.88,50.00%,,,50.0,,
30,Residential,51 TO 70 KWH,,,51.0,70,Apr-14,03-26-14,04-25-14,1.9385,0.0,5.8995,1.0165,1.2225,0.6043,0.4066,0.6133,0.1180,0.0025,0.1938,,,,,,,,,,0.0000,,,,,,,,,,4.1775,,,0.0,19.88,5.00,24.88,35.00%,,,35.0,,
31,Residential,71 TO 100 KWH,,,71.0,100,Apr-14,03-26-14,04-25-14,1.9385,0.0,5.8995,1.0165,1.2225,0.6043,0.4066,0.6133,0.1180,0.0025,0.1938,,,,,,,,,,0.0000,,,,,,,,,,4.1775,,,0.0,19.88,5.00,24.88,20.00%,,,20.0,,
32,Residential,101 TO 200 KWH,,,101.0,200,Apr-14,03-26-14,04-25-14,2.0997,0.0,5.8995,1.0165,1.2225,0.6043,0.4066,0.6133,0.1180,0.0025,0.1938,,0.1611,0.0001,,,,,,,0.0000,,,,,,,,,,4.3387,,,0.0,19.88,5.00,24.88,,,,0.0,,
33,Residential,201 TO 300 KWH,,,201.0,300,Apr-14,03-26-14,04-25-14,2.0997,0.0,5.8995,1.0165,1.5798,0.6043,0.4066,0.6133,0.1180,0.0025,0.1938,,0.1611,0.0001,,,,,,,0.0000,,,,,,,,,,4.696,,,0.0,19.88,5.00,24.88,,,,0.0,,
34,Residential,301 TO 400 KWH,,,301.0,400,Apr-14,03-26-14,04-25-14,2.0997,0.0,5.8995,1.0165,1.9170,0.6043,0.4066,0.6133,0.1180,0.0025,0.1938,,0.1611,0.0001,,,,,,,0.0000,,,,,,,,,,5.0332,,,0.0,19.88,5.00,24.88,,,,0.0,,
35,Residential,OVER 400 KWH,,,400.0,,Apr-14,03-26-14,04-25-14,2.0997,0.0,5.8995,1.0165,2.5043,0.6043,0.4066,0.6133,0.1180,0.0025,0.1938,,0.1611,0.0001,,,,,,,0.0000,,,,,,,,,,5.6205,,,0.0,19.88,5.00,24.88,,,,0.0,,
36,General Service A,0 TO 200 KWH,,,0.0,200,Apr-14,03-26-14,04-25-14,2.0997,0.0,5.8995,1.0165,1.2225,0.6043,0.4066,0.6133,0.1180,0.0025,0.1938,,0.1611,0.0001,,,,,,,0.0000,,,,,,,,,,4.3387,,,0.0,19.88,5.00,24.88,,5%,,5.0,,
37,General Service A,201 TO 300 KWH,,,201.0,300,Apr-14,03-26-14,04-25-14,2.0997,0.0,5.8995,1.0165,1.5798,0.6043,0.4066,0.6133,0.1180,0.0025,0.1938,,0.1611,0.0001,,,,,,,0.0000,,,,,,,,,,4.696,,,0.0,19.88,5.00,24.88,,5%,,5.0,,
38,General Service A,301 TO 400 KWH,,,301.0,400,Apr-14,03-26-14,04-25-14,2.0997,0.0,5.8995,1.0165,1.9170,0.6043,0.4066,0.6133,0.1180,0.0025,0.1938,,0.1611,0.0001,,,,,,,0.0000,,,,,,,,,,5.0332,,,0.0,19.88,5.00,24.88,,5%,,5.0,,
39,General Service A,OVER 400 KWH,,,400.0,,Apr-14,03-26-14,04-25-14,2.0997,0.0,5.8995,1.0165,2.5043,0.6043,0.4066,0.6133,0.1180,0.0025,0.1938,,0.1611,0.0001,,,,,,,0.0000,,,,,,,,,,5.6205,,,0.0,19.88,5.00,24.88,,5%,,5.0,,
40,General Service B,General Service B,5.0,40.0,,,Apr-14,03-26-14,04-25-14,1.0888,0.0,5.8995,,0.1625,,,0.6133,0.1180,0.0025,0.1938,,0.1611,0.0001,,,,,,,0.0000,,,,,,,,,,1.2513,310.58,281.84,592.42,441.49,430.62,872.11,,3%,,3.0,,
41,General Power (GP) Secondary,MEDIUM SECONDARY,40.0,200.0,,,Apr-14,03-26-14,04-25-14,1.0888,0.0,5.8995,,0.1625,,,0.6133,0.1180,0.0025,0.1938,,0.1611,0.0001,,,,,,,0.0000,,,,,,,,,,1.2513,345.02,281.84,626.8599999999999,"1,004.45","1,009.53",0.0,,3%,,3.0,1.4%,0.7%
42,General Power (GP) Secondary,LARGE SECONDARY,200.0,750.0,,,Apr-14,03-26-14,04-25-14,1.0888,0.0,5.8995,,0.1625,,,0.6133,0.1180,0.0025,0.1938,,0.1611,0.0001,,,,,,,0.0000,,,,,,,,,,1.2513,345.02,281.84,626.8599999999999,"4,166.09","4,189.45",0.0,,3%,,3.0,1.4%,0.7%
43,GP 13.8 KV and below,MEDIUM 13.8 KV AND BELOW,40.0,200.0,,,Apr-14,03-26-14,04-25-14,0.73,0.0,5.8995,,0.0609,,,0.2545,0.1180,0.0025,0.1938,,0.1611,0.0001,,,,,,,0.0000,,,,,,,,,,0.7908999999999999,352.69,217.08,569.77,"1,004.45","1,009.53",0.0,,3%,,3.0,1.4%,0.7%
44,GP 13.8 KV and below,LARGE 13.8 KV AND BELOW,200.0,750.0,,,Apr-14,03-26-14,04-25-14,0.73,0.0,5.8995,,0.0609,,,0.2545,0.1180,0.0025,0.1938,,0.1611,0.0001,,,,,,,0.0000,,,,,,,,,,0.7908999999999999,352.69,217.08,569.77,"4,166.09","4,189.45",0.0,,3%,,3.0,1.4%,0.7%
45,GP 13.8 KV and below,VERY LARGE 13.8 KV AND BELOW,750.0,10000.0,,,Apr-14,03-26-14,04-25-14,0.73,0.0,5.8995,,0.0609,,,0.2545,0.1180,0.0025,0.1938,,0.1611,0.0001,,,,,,,0.0000,,,,,,,,,,0.7908999999999999,352.69,217.08,569.77,"15,124.68","14,350.77",0.0,,3%,,3.0,1.4%,0.7%
46,GP 34.5 KV,MEDIUM 34.5 KV,40.0,200.0,,,Apr-14,03-26-14,04-25-14,0.73,0.0,5.8995,,0.0609,,,0.2545,0.1180,0.0025,0.1938,,0.1611,0.0001,,,,,,,0.0000,,,,,,,,,,0.7908999999999999,386.66,217.08,603.74,"1,004.45","1,009.53",0.0,,3%,,3.0,1.4%,0.7%
47,GP 34.5 KV,LARGE 34.5 KV,200.0,750.0,,,Apr-14,03-26-14,04-25-14,0.73,0.0,5.8995,,0.0609,,,0.2545,0.1180,0.0025,0.1938,,0.1611,0.0001,,,,,,,0.0000,,,,,,,,,,0.7908999999999999,386.66,217.08,603.74,"4,166.09","4,189.45",0.0,,3%,,3.0,1.4%,0.7%
48,GP 34.5 KV,VERY LARGE AND EXTRA LARGE 34.5 KV,750.0,10000.0,,,Apr-14,03-26-14,04-25-14,0.73,0.0,5.8995,,0.0609,,,0.2545,0.1180,0.0025,0.1938,,0.1611,0.0001,,,,,,,0.0000,,,,,,,,,,0.7908999999999999,386.66,217.08,603.74,"15,124.68","14,350.77",0.0,,3%,,3.0,1.4%,0.7%
49,GP 115 KV / 69 KV,GP 115 KV / 69 KV,,,,,Apr-14,03-26-14,04-25-14,0.5509,0.0,5.8995,,0.0609,,,0.0754,0.1180,0.0025,0.1938,,0.1611,0.0001,,,,,,,0.0000,,,,,,,,,,0.6118,303.80,170.08,473.88,"15,124.68","14,350.77",0.0,,3%,,3.0,1.4%,0.7%
50,GHMSCI,GHMSCI,,,,,Apr-14,03-26-14,04-25-14,1.0888,0.0,5.8995,1.2229,1.0301,,,0.6133,0.1180,0.0025,0.1938,,0.1611,0.0001,,,,,,,0.0000,,,,,,,,,,3.3418000000000005,,,0.0,331.09,330.93,662.02,,,,0.0,,
51,FLAT STREETLIGHTS,Per kWh,,,,,Apr-14,03-26-14,04-25-14,1.8606999999999998,0.0,5.8995,1.0188,2.3867,0.7719,,0.6133,0.1180,0.0025,0.1938,,0.1611,0.0001,,,,,,,0.0000,,,,,,,,,,5.2661999999999995,,,0.0,,,0.0,,,,0.0,,
52,FLAT STREETLIGHTS,"125 W Mercury, 70 W HPS(or equivalent)",,,,,Apr-14,03-26-14,04-25-14,78.1642,0.0,247.78,42.79,100.24,32.42,,25.76,4.96,0.11,8.14,,6.77,0.0042,,,,,,,0.00,,,,,,,,,,221.1942,,,0.0,,,0.0,,,,0.0,,
53,FLAT STREETLIGHTS,"250 W Mercury, 150 W HPS(or equivalent)",,,,,Apr-14,03-26-14,04-25-14,124.66669999999999,0.0,395.27,68.26,159.91,51.72,,41.09,7.91,0.17,12.98,,10.79,0.0067,,,,,,,0.00,,,,,,,,,,352.83669999999995,,,0.0,,,0.0,,,,0.0,,
54,FLAT STREETLIGHTS,"400 W Mercury, 250 W HPS(or equivalent)",,,,,Apr-14,03-26-14,04-25-14,208.4012,0.0,660.74,114.11,267.31,86.45,,68.69,13.22,0.28,21.71,,18.04,0.0112,,,,,,,0.00,,,,,,,,,,589.8212000000001,,,0.0,,,0.0,,,,0.0,,
55,FLAT STREETLIGHTS,400 W HPS(or equivalent),,,,,Apr-14,03-26-14,04-25-14,323.7574,0.0,"1,026.51",177.27,415.29,134.31,,106.71,20.53,0.44,33.72,,28.03,0.0174,,,,,,,0.00,,,,,,,,,,916.3174,,,0.0,,,0.0,,,,0.0,,
56,Residential,0 TO 20 KWH,,,0.0,20,Apr-15,03-26-15,04-25-15,1.9078999999999997,0.0,5.4121,0.9386,1.1282,0.5730,0.3840,0.5579,0.1561,0.0025,0.1938,0.0406,,,,,,,,,,,,,,,,,,,3.9747,,,0.0,18.85,5.00,23.85,100.00%,,,100.0,,
57,Residential,21 TO 50 KWH,,,21.0,50,Apr-15,03-26-15,04-25-15,1.9078999999999997,0.0,5.4121,0.9386,1.1282,0.5730,0.3840,0.5579,0.1561,0.0025,0.1938,0.0406,,,,,,,,,,,,,,,,,,,3.9747,,,0.0,18.85,5.00,23.85,50.00%,,,50.0,,
58,Residential,51 TO 70 KWH,,,51.0,70,Apr-15,03-26-15,04-25-15,1.9078999999999997,0.0,5.4121,0.9386,1.1282,0.5730,0.3840,0.5579,0.1561,0.0025,0.1938,0.0406,,,,,,,,,,,,,,,,,,,3.9747,,,0.0,18.85,5.00,23.85,35.00%,,,35.0,,
59,Residential,71 TO 100 KWH,,,71.0,100,Apr-15,03-26-15,04-25-15,1.9078999999999997,0.0,5.4121,0.9386,1.1282,0.5730,0.3840,0.5579,0.1561,0.0025,0.1938,0.0406,,,,,,,,,,,,,,,,,,,3.9747,,,0.0,18.85,5.00,23.85,20.00%,,,20.0,,
60,Residential,101 TO 200 KWH,,,101.0,200,Apr-15,03-26-15,04-25-15,2.0643000000000002,0.0,5.4121,0.9386,1.1282,0.5730,0.3840,0.5579,0.1561,0.0025,0.1938,0.0406,0.1563,0.0001,,,,,,,,,,,,,,,,,4.1311,,,0.0,18.85,5.00,23.85,,,,0.0,,
61,Residential,201 TO 300 KWH,,,201.0,300,Apr-15,03-26-15,04-25-15,2.0643000000000002,0.0,5.4121,0.9386,1.4855,0.5730,0.3840,0.5579,0.1561,0.0025,0.1938,0.0406,0.1563,0.0001,,,,,,,,,,,,,,,,,4.4884,,,0.0,18.85,5.00,23.85,,,,0.0,,
62,Residential,301 TO 400 KWH,,,301.0,400,Apr-15,03-26-15,04-25-15,2.0643000000000002,0.0,5.4121,0.9386,1.8227,0.5730,0.3840,0.5579,0.1561,0.0025,0.1938,0.0406,0.1563,0.0001,,,,,,,,,,,,,,,,,4.8256000000000006,,,0.0,18.85,5.00,23.85,,,,0.0,,
63,Residential,OVER 400 KWH,,,400.0,,Apr-15,03-26-15,04-25-15,2.0643000000000002,0.0,5.4121,0.9386,2.4100,0.5730,0.3840,0.5579,0.1561,0.0025,0.1938,0.0406,0.1563,0.0001,,,,,,,,,,,,,,,,,5.4129000000000005,,,0.0,18.85,5.00,23.85,,,,0.0,,
64,General Service A,0 TO 200 KWH,,,0.0,200,Apr-15,03-26-15,04-25-15,2.0643000000000002,0.0,5.4121,0.9386,1.1282,0.5730,0.3840,0.5579,0.1561,0.0025,0.1938,0.0406,0.1563,0.0001,,,,,,,,,,,,,,,,,4.1311,,,0.0,18.85,5.00,23.85,,5%,,5.0,,
65,General Service A,201 TO 300 KWH,,,201.0,300,Apr-15,03-26-15,04-25-15,2.0643000000000002,0.0,5.4121,0.9386,1.4855,0.5730,0.3840,0.5579,0.1561,0.0025,0.1938,0.0406,0.1563,0.0001,,,,,,,,,,,,,,,,,4.4884,,,0.0,18.85,5.00,23.85,,5%,,5.0,,
66,General Service A,301 TO 400 KWH,,,301.0,400,Apr-15,03-26-15,04-25-15,2.0643000000000002,0.0,5.4121,0.9386,1.8227,0.5730,0.3840,0.5579,0.1561,0.0025,0.1938,0.0406,0.1563,0.0001,,,,,,,,,,,,,,,,,4.8256000000000006,,,0.0,18.85,5.00,23.85,,5%,,5.0,,
67,General Service A,OVER 400 KWH,,,400.0,,Apr-15,03-26-15,04-25-15,2.0643000000000002,0.0,5.4121,0.9386,2.4100,0.5730,0.3840,0.5579,0.1561,0.0025,0.1938,0.0406,0.1563,0.0001,,,,,,,,,,,,,,,,,5.4129000000000005,,,0.0,18.85,5.00,23.85,,5%,,5.0,,
68,General Service B,General Service B,5.0,40.0,,,Apr-15,03-26-15,04-25-15,1.1073,0.0,5.4121,,0.1541,,,0.5579,0.1561,0.0025,0.1938,0.0406,0.1563,0.0001,,,,,,,,,,,,,,,,,1.2614,282.89,267.23,550.12,418.61,408.30,826.9100000000001,,3%,,3.0,,
69,General Power (GP) Secondary,MEDIUM SECONDARY,40.0,200.0,,,Apr-15,03-26-15,04-25-15,1.1073,0.0,5.4121,,0.1541,,,0.5579,0.1561,0.0025,0.1938,0.0406,0.1563,0.0001,,,,,,,,,,,,,,,,,1.2614,315.29,267.23,582.52,952.39,957.20,1909.5900000000001,,3%,,3.0,1.4%,0.7%
70,General Power (GP) Secondary,LARGE SECONDARY,200.0,750.0,,,Apr-15,03-26-15,04-25-15,1.1073,0.0,5.4121,,0.1541,,,0.5579,0.1561,0.0025,0.1938,0.0406,0.1563,0.0001,,,,,,,,,,,,,,,,,1.2614,315.29,267.23,582.52,"3,950.15","3,972.30",0.0,,3%,,3.0,1.4%,0.7%
71,GP 13.8 KV and below,MEDIUM 13.8 KV AND BELOW,40.0,200.0,,,Apr-15,03-26-15,04-25-15,0.7763,0.0,5.4121,,0.0578,,,0.2269,0.1561,0.0025,0.1938,0.0406,0.1563,0.0001,,,,,,,,,,,,,,,,,0.8341000000000001,322.13,205.83,527.96,952.39,957.20,1909.5900000000001,,3%,,3.0,1.4%,0.7%
72,GP 13.8 KV and below,LARGE 13.8 KV AND BELOW,200.0,750.0,,,Apr-15,03-26-15,04-25-15,0.7763,0.0,5.4121,,0.0578,,,0.2269,0.1561,0.0025,0.1938,0.0406,0.1563,0.0001,,,,,,,,,,,,,,,,,0.8341000000000001,322.13,205.83,527.96,"3,950.15","3,972.30",0.0,,3%,,3.0,1.4%,0.7%
73,GP 13.8 KV and below,VERY LARGE 13.8 KV AND BELOW,750.0,10000.0,,,Apr-15,03-26-15,04-25-15,0.7763,0.0,5.4121,,0.0578,,,0.2269,0.1561,0.0025,0.1938,0.0406,0.1563,0.0001,,,,,,,,,,,,,,,,,0.8341000000000001,322.13,205.83,527.96,"14,340.72","13,606.92",0.0,,3%,,3.0,1.4%,0.7%
74,GP 34.5 KV,MEDIUM 34.5 KV,40.0,200.0,,,Apr-15,03-26-15,04-25-15,0.7763,0.0,5.4121,,0.0578,,,0.2269,0.1561,0.0025,0.1938,0.0406,0.1563,0.0001,,,,,,,,,,,,,,,,,0.8341000000000001,360.38,205.83,566.21,952.39,957.20,1909.5900000000001,,3%,,3.0,1.4%,0.7%
75,GP 34.5 KV,LARGE 34.5 KV,200.0,750.0,,,Apr-15,03-26-15,04-25-15,0.7763,0.0,5.4121,,0.0578,,,0.2269,0.1561,0.0025,0.1938,0.0406,0.1563,0.0001,,,,,,,,,,,,,,,,,0.8341000000000001,360.38,205.83,566.21,"3,950.15","3,972.30",0.0,,3%,,3.0,1.4%,0.7%
76,GP 34.5 KV,VERY LARGE AND EXTRA LARGE 34.5 KV,750.0,10000.0,,,Apr-15,03-26-15,04-25-15,0.7763,0.0,5.4121,,0.0578,,,0.2269,0.1561,0.0025,0.1938,0.0406,0.1563,0.0001,,,,,,,,,,,,,,,,,0.8341000000000001,360.38,205.83,566.21,"14,340.72","13,606.92",0.0,,3%,,3.0,1.4%,0.7%
